 time            v(vop)         
 3.50000000e-09  3.47352665e-01 
 5.50000000e-09  3.83268323e-01 
 7.50000000e-09  4.15527083e-01 
 9.50000000e-09  4.42891764e-01 
 1.15000000e-08  4.64311815e-01 
 1.35000000e-08  4.78968507e-01 
 1.55000000e-08  4.86289026e-01 
 1.75000000e-08  4.85990645e-01 
 1.95000000e-08  4.78086448e-01 
 2.15000000e-08  4.62879468e-01 
 2.35000000e-08  4.40952562e-01 
 2.55000000e-08  4.13149329e-01 
 2.75000000e-08  3.80532605e-01 
 2.95000000e-08  3.44367960e-01 
 3.15000000e-08  3.06031618e-01 
 3.35000000e-08  2.67003731e-01 
 3.55000000e-08  2.28783967e-01 
 3.75000000e-08  1.92842397e-01 
 3.95000000e-08  1.60563939e-01 
 4.15000000e-08  1.33187944e-01 
 4.35000000e-08  1.11767969e-01 
 4.55000000e-08  9.71271454e-02 
 4.75000000e-08  8.98311255e-02 
 4.95000000e-08  9.01536874e-02 
 5.15000000e-08  9.80810498e-02 
 5.35000000e-08  1.13314605e-01 
 5.55000000e-08  1.35254784e-01 
 5.75000000e-08  1.63069163e-01 
 5.95000000e-08  1.95685116e-01 
 6.15000000e-08  2.31838905e-01 
 6.35000000e-08  2.70154691e-01 
 6.55000000e-08  3.09160281e-01 
 6.75000000e-08  3.47348585e-01 
 6.95000000e-08  3.83268567e-01 
 7.15000000e-08  4.15526693e-01 
 7.35000000e-08  4.42891083e-01 
 7.55000000e-08  4.64311510e-01 
 3.50000000e-09  4.01099882e-01 
 5.50000000e-09  4.55071730e-01 
 7.50000000e-09  4.83647904e-01 
 9.50000000e-09  4.82473166e-01 
 1.15000000e-08  4.51680897e-01 
 1.35000000e-08  3.95972044e-01 
 1.55000000e-08  3.23808659e-01 
 1.75000000e-08  2.46181979e-01 
 1.95000000e-08  1.74941159e-01 
 2.15000000e-08  1.20941092e-01 
 2.35000000e-08  9.24167982e-02 
 2.55000000e-08  9.37035581e-02 
 2.75000000e-08  1.24577080e-01 
 2.95000000e-08  1.80314364e-01 
 3.15000000e-08  2.52435118e-01 
 3.35000000e-08  3.29955989e-01 
 3.55000000e-08  4.01104552e-01 
 3.75000000e-08  4.55071862e-01 
 3.95000000e-08  4.83655733e-01 
 4.15000000e-08  4.82474433e-01 
 4.35000000e-08  4.51682969e-01 
 4.55000000e-08  3.95971931e-01 
 4.75000000e-08  3.23809820e-01 
 4.95000000e-08  2.46185751e-01 
 5.15000000e-08  1.74942038e-01 
 5.35000000e-08  1.20941245e-01 
 5.55000000e-08  9.24172465e-02 
 5.75000000e-08  9.37028734e-02 
 5.95000000e-08  1.24576902e-01 
 6.15000000e-08  1.80314387e-01 
 6.35000000e-08  2.52434777e-01 
 6.55000000e-08  3.29956504e-01 
 6.75000000e-08  4.01104540e-01 
 6.95000000e-08  4.55076246e-01 
 7.15000000e-08  4.83647520e-01 
 7.35000000e-08  4.82471806e-01 
 7.55000000e-08  4.51680295e-01 
 3.50000000e-09  4.44413116e-01 
 5.50000000e-09  4.86018977e-01 
 7.50000000e-09  4.60935307e-01 
 9.50000000e-09  3.77531279e-01 
 1.15000000e-08  2.63902561e-01 
 1.35000000e-08  1.58411756e-01 
 1.55000000e-08  9.66966533e-02 
 1.75000000e-08  9.95646909e-02 
 1.95000000e-08  1.65952231e-01 
 2.15000000e-08  2.73407652e-01 
 2.35000000e-08  3.85762656e-01 
 2.55000000e-08  4.65256091e-01 
 2.75000000e-08  4.85117400e-01 
 2.95000000e-08  4.38562362e-01 
 3.15000000e-08  3.41213317e-01 
 3.35000000e-08  2.25887370e-01 
 3.55000000e-08  1.31546493e-01 
 3.75000000e-08  9.00505772e-02 
 3.95000000e-08  1.15353818e-01 
 4.15000000e-08  1.98816639e-01 
 4.35000000e-08  3.12275297e-01 
 4.55000000e-08  4.17577408e-01 
 4.75000000e-08  4.79303998e-01 
 4.95000000e-08  4.76660829e-01 
 5.15000000e-08  4.10404711e-01 
 5.35000000e-08  3.02847250e-01 
 5.55000000e-08  1.90269758e-01 
 5.75000000e-08  1.10706574e-01 
 5.95000000e-08  9.10173252e-02 
 6.15000000e-08  1.37769403e-01 
 6.35000000e-08  2.35098778e-01 
 6.55000000e-08  3.50210970e-01 
 6.75000000e-08  4.44415073e-01 
