 time            v(vop)         
 4.05000000e-09  3.57976014e-01 
 6.05000000e-09  3.94198640e-01 
 8.05000000e-09  4.26798205e-01 
 1.00500000e-08  4.54526600e-01 
 1.20500000e-08  4.76317613e-01 
 1.40500000e-08  4.91328945e-01 
 1.60500000e-08  4.98989270e-01 
 1.80500000e-08  4.99001556e-01 
 2.00500000e-08  4.91366197e-01 
 2.20500000e-08  4.76376145e-01 
 2.40500000e-08  4.54605068e-01 
 2.60500000e-08  4.26895958e-01 
 2.80500000e-08  3.94308107e-01 
 3.00500000e-08  3.58095032e-01 
 3.20500000e-08  3.19649536e-01 
 3.40500000e-08  2.80451338e-01 
 3.60500000e-08  2.41997951e-01 
 3.80500000e-08  2.05778369e-01 
 4.00500000e-08  1.73177529e-01 
 4.20500000e-08  1.45449028e-01 
 4.40500000e-08  1.23661193e-01 
 4.60500000e-08  1.08646309e-01 
 4.80500000e-08  1.00987970e-01 
 5.00500000e-08  1.00976356e-01 
 5.20500000e-08  1.08612829e-01 
 5.40500000e-08  1.23601659e-01 
 5.60500000e-08  1.45371369e-01 
 5.80500000e-08  1.73081974e-01 
 6.00500000e-08  2.05669423e-01 
 6.20500000e-08  2.41880451e-01 
 6.40500000e-08  2.80323016e-01 
 6.60500000e-08  3.19527643e-01 
 6.80500000e-08  3.57976348e-01 
 7.00500000e-08  3.94198641e-01 
 7.20500000e-08  4.26798205e-01 
 7.40500000e-08  4.54526599e-01 
 7.60500000e-08  4.76317613e-01 
 4.05000000e-09  4.10937578e-01 
 6.05000000e-09  4.66121044e-01 
 8.05000000e-09  4.96010597e-01 
 1.00500000e-08  4.96058084e-01 
 1.20500000e-08  4.66256193e-01 
 1.40500000e-08  4.11135206e-01 
 1.60500000e-08  3.39100958e-01 
 1.80500000e-08  2.61108081e-01 
 2.00500000e-08  1.89038885e-01 
 2.20500000e-08  1.33854466e-01 
 2.40500000e-08  1.03966850e-01 
 2.60500000e-08  1.03919304e-01 
 2.80500000e-08  1.33721234e-01 
 3.00500000e-08  1.88840547e-01 
 3.20500000e-08  2.60877462e-01 
 3.40500000e-08  3.38871322e-01 
 3.60500000e-08  4.10938052e-01 
 3.80500000e-08  4.66121045e-01 
 4.00500000e-08  4.96010578e-01 
 4.20500000e-08  4.96058084e-01 
 4.40500000e-08  4.66256193e-01 
 4.60500000e-08  4.11135206e-01 
 4.80500000e-08  3.39100958e-01 
 5.00500000e-08  2.61108081e-01 
 5.20500000e-08  1.89038885e-01 
 5.40500000e-08  1.33854667e-01 
 5.60500000e-08  1.03966900e-01 
 5.80500000e-08  1.03919304e-01 
 6.00500000e-08  1.33721234e-01 
 6.20500000e-08  1.88839454e-01 
 6.40500000e-08  2.60877461e-01 
 6.60500000e-08  3.38871322e-01 
 6.80500000e-08  4.10938052e-01 
 7.00500000e-08  4.66121045e-01 
 7.20500000e-08  4.96010597e-01 
 7.40500000e-08  4.96058084e-01 
 7.60500000e-08  4.66256193e-01 
 4.05000000e-09  4.54286754e-01 
 6.05000000e-09  4.98757113e-01 
 8.05000000e-09  4.76228126e-01 
 1.00500000e-08  3.94300996e-01 
 1.20500000e-08  2.80581172e-01 
 1.40500000e-08  1.73403851e-01 
 1.60500000e-08  1.08889191e-01 
 1.80500000e-08  1.08793008e-01 
 2.00500000e-08  1.73139044e-01 
 2.20500000e-08  2.80243875e-01 
 2.40500000e-08  3.94005981e-01 
 2.60500000e-08  4.76070759e-01 
 2.80500000e-08  4.98791965e-01 
 3.00500000e-08  4.54507839e-01 
 3.20500000e-08  3.58139073e-01 
 3.40500000e-08  2.42167466e-01 
 3.60500000e-08  1.45689501e-01 
 3.80500000e-08  1.01219141e-01 
 4.00500000e-08  1.23750174e-01 
 4.20500000e-08  2.05676113e-01 
 4.40500000e-08  3.19397877e-01 
 4.60500000e-08  4.26580149e-01 
 4.80500000e-08  4.91086681e-01 
 5.00500000e-08  4.91184166e-01 
 5.20500000e-08  4.26835455e-01 
 5.40500000e-08  3.19734062e-01 
 5.60500000e-08  2.05976074e-01 
 5.80500000e-08  1.23906438e-01 
 6.00500000e-08  1.01184485e-01 
 6.20500000e-08  1.45472109e-01 
 6.40500000e-08  2.41843772e-01 
