 time            v(vop)         
 4.05000000e-09  3.57975062e-01 
 6.05000000e-09  3.94198082e-01 
 8.05000000e-09  4.26798091e-01 
 1.00500000e-08  4.54527386e-01 
 1.20500000e-08  4.76316767e-01 
 1.40500000e-08  4.91329744e-01 
 1.60500000e-08  4.98988105e-01 
 1.80500000e-08  4.98999759e-01 
 2.00500000e-08  4.91364827e-01 
 2.20500000e-08  4.76372873e-01 
 2.40500000e-08  4.54605189e-01 
 2.60500000e-08  4.26892598e-01 
 2.80500000e-08  3.94305580e-01 
 3.00500000e-08  3.58092460e-01 
 3.20500000e-08  3.19650039e-01 
 3.40500000e-08  2.80446630e-01 
 3.60500000e-08  2.41998527e-01 
 3.80500000e-08  2.05777234e-01 
 4.00500000e-08  1.73174712e-01 
 4.20500000e-08  1.45448789e-01 
 4.40500000e-08  1.23658550e-01 
 4.60500000e-08  1.08646308e-01 
 4.80500000e-08  1.00987148e-01 
 5.00500000e-08  1.00975909e-01 
 5.20500000e-08  1.08610832e-01 
 5.40500000e-08  1.23602081e-01 
 5.60500000e-08  1.45371492e-01 
 5.80500000e-08  1.73082212e-01 
 6.00500000e-08  2.05669402e-01 
 6.20500000e-08  2.41882069e-01 
 6.40500000e-08  2.80324728e-01 
 6.60500000e-08  3.19524436e-01 
 6.80500000e-08  3.57976614e-01 
 7.00500000e-08  3.94201155e-01 
 7.20500000e-08  4.26799010e-01 
 7.40500000e-08  4.54528531e-01 
 7.60500000e-08  4.76317004e-01 
 4.05000000e-09  4.10939491e-01 
 6.05000000e-09  4.66121879e-01 
 8.05000000e-09  4.96010671e-01 
 1.00500000e-08  4.96056914e-01 
 1.20500000e-08  4.66252341e-01 
 1.40500000e-08  4.11137173e-01 
 1.60500000e-08  3.39099544e-01 
 1.80500000e-08  2.61108561e-01 
 2.00500000e-08  1.89035073e-01 
 2.20500000e-08  1.33854278e-01 
 2.40500000e-08  1.03966066e-01 
 2.60500000e-08  1.03918973e-01 
 2.80500000e-08  1.33721373e-01 
 3.00500000e-08  1.88838844e-01 
 3.20500000e-08  2.60875311e-01 
 3.40500000e-08  3.38866935e-01 
 3.60500000e-08  4.10939728e-01 
 3.80500000e-08  4.66120613e-01 
 4.00500000e-08  4.96010214e-01 
 4.20500000e-08  4.96054861e-01 
 4.40500000e-08  4.66254403e-01 
 4.60500000e-08  4.11135901e-01 
 4.80500000e-08  3.39100075e-01 
 5.00500000e-08  2.61107589e-01 
 5.20500000e-08  1.89035068e-01 
 5.40500000e-08  1.33854812e-01 
 5.60500000e-08  1.03965380e-01 
 5.80500000e-08  1.03919043e-01 
 6.00500000e-08  1.33723043e-01 
 6.20500000e-08  1.88839115e-01 
