 time            v(vop)         
 3.50000000e-09  3.41650401e-01 
 5.50000000e-09  3.77920842e-01 
 7.50000000e-09  4.10579885e-01 
 9.50000000e-09  4.38395149e-01 
 1.15000000e-08  4.60317862e-01 
 1.35000000e-08  4.75516272e-01 
 1.55000000e-08  4.83393699e-01 
 1.75000000e-08  4.83608085e-01 
 1.95000000e-08  4.76098323e-01 
 2.15000000e-08  4.61115369e-01 
 2.35000000e-08  4.39218385e-01 
 2.55000000e-08  4.11262185e-01 
 2.75000000e-08  3.78350154e-01 
 2.95000000e-08  3.41778819e-01 
 3.15000000e-08  3.02980123e-01 
 3.35000000e-08  2.63463947e-01 
 3.55000000e-08  2.24759088e-01 
 3.75000000e-08  1.88354046e-01 
 3.95000000e-08  1.55643191e-01 
 4.15000000e-08  1.27876312e-01 
 4.35000000e-08  1.06109582e-01 
 4.55000000e-08  9.11680960e-02 
 4.75000000e-08  8.36146536e-02 
 4.95000000e-08  8.37306124e-02 
 5.15000000e-08  9.15041780e-02 
 5.35000000e-08  1.06631751e-01 
 5.55000000e-08  1.28531949e-01 
 5.75000000e-08  1.56362710e-01 
 5.95000000e-08  1.89057229e-01 
 6.15000000e-08  2.25361438e-01 
 6.35000000e-08  2.63883795e-01 
 6.55000000e-08  3.03147781e-01 
 6.75000000e-08  3.41650959e-01 
 6.95000000e-08  3.77920710e-01 
 7.15000000e-08  4.10579930e-01 
 3.50000000e-09  3.94501003e-01 
 5.50000000e-09  4.49716880e-01 
 7.50000000e-09  4.80143529e-01 
 9.50000000e-09  4.80969817e-01 
 1.15000000e-08  4.51384771e-01 
 1.35000000e-08  3.95632976e-01 
 1.55000000e-08  3.22557848e-01 
 1.75000000e-08  2.43661046e-01 
 1.95000000e-08  1.71101543e-01 
 2.15000000e-08  1.15897139e-01 
 2.35000000e-08  8.63408105e-02 
 2.55000000e-08  8.67984943e-02 
 2.75000000e-08  1.17090059e-01 
 2.95000000e-08  1.72543734e-01 
 3.15000000e-08  2.44700662e-01 
 3.35000000e-08  3.22602904e-01 
 3.55000000e-08  3.94500911e-01 
 3.75000000e-08  4.49716853e-01 
 3.95000000e-08  4.80143526e-01 
 4.15000000e-08  4.80969714e-01 
 4.35000000e-08  4.51385020e-01 
 4.55000000e-08  3.95633212e-01 
 4.75000000e-08  3.22557899e-01 
 4.95000000e-08  2.43661021e-01 
 5.15000000e-08  1.71101264e-01 
 5.35000000e-08  1.15897120e-01 
 5.55000000e-08  8.63408367e-02 
 5.75000000e-08  8.67979503e-02 
 5.95000000e-08  1.17090391e-01 
 6.15000000e-08  1.72543295e-01 
 6.35000000e-08  2.44700715e-01 
 6.55000000e-08  3.22603656e-01 
 6.75000000e-08  3.94500910e-01 
 6.95000000e-08  4.49716741e-01 
 7.15000000e-08  4.80144073e-01 
 3.50000000e-09  4.37546027e-01 
 5.50000000e-09  4.83040857e-01 
 7.50000000e-09  4.61846336e-01 
 9.50000000e-09  3.78789968e-01 
 1.15000000e-08  2.63059285e-01 
 1.35000000e-08  1.54945304e-01 
 1.55000000e-08  9.08628629e-02 
 1.75000000e-08  9.18690556e-02 
 1.95000000e-08  1.57100238e-01 
 2.15000000e-08  2.64312059e-01 
 2.35000000e-08  3.77497039e-01 
 2.55000000e-08  4.59459016e-01 
 2.75000000e-08  4.83680032e-01 
 2.95000000e-08  4.40015344e-01 
 3.15000000e-08  3.41919451e-01 
 3.35000000e-08  2.24173646e-01 
 3.55000000e-08  1.27245486e-01 
 3.75000000e-08  8.35307732e-02 
 3.95000000e-08  1.07180954e-01 
 4.15000000e-08  1.89774597e-01 
 4.35000000e-08  3.03324896e-01 
 4.55000000e-08  4.09893949e-01 
 4.75000000e-08  4.74828229e-01 
 4.95000000e-08  4.76570210e-01 
 5.15000000e-08  4.11942864e-01 
 5.35000000e-08  3.02825353e-01 
 5.55000000e-08  1.87669227e-01 
 5.75000000e-08  1.05614682e-01 
 5.95000000e-08  8.38780336e-02 
 6.15000000e-08  1.29210034e-01 
 6.35000000e-08  2.25974981e-01 
 6.55000000e-08  3.41531577e-01 
 6.75000000e-08  4.37546300e-01 
 6.95000000e-08  4.83040336e-01 
 7.15000000e-08  4.61846571e-01 
 3.50000000e-09  4.67580349e-01 
 5.50000000e-09  4.70409622e-01 
 7.50000000e-09  3.60881900e-01 
 9.50000000e-09  2.05215831e-01 
 1.15000000e-08  9.71461864e-02 
 1.35000000e-08  9.88830782e-02 
 1.55000000e-08  2.07860095e-01 
 1.75000000e-08  3.59745701e-01 
 1.95000000e-08  4.67579988e-01 
 2.15000000e-08  4.70409712e-01 
 2.35000000e-08  3.60881212e-01 
 2.55000000e-08  2.05215995e-01 
 2.75000000e-08  9.71459912e-02 
 2.95000000e-08  9.88828908e-02 
 3.15000000e-08  2.07860530e-01 
 3.35000000e-08  3.59745400e-01 
 3.55000000e-08  4.67579746e-01 
 3.75000000e-08  4.70410089e-01 
 3.95000000e-08  3.60881892e-01 
 4.15000000e-08  2.05216194e-01 
 4.35000000e-08  9.71462268e-02 
 4.55000000e-08  9.88828288e-02 
 4.75000000e-08  2.07859887e-01 
 4.95000000e-08  3.59745141e-01 
 5.15000000e-08  4.67579475e-01 
 5.35000000e-08  4.70410330e-01 
 5.55000000e-08  3.60881906e-01 
 5.75000000e-08  2.05215856e-01 
 5.95000000e-08  9.71466087e-02 
 6.15000000e-08  9.88828421e-02 
 6.35000000e-08  2.07860856e-01 
 6.55000000e-08  3.59746736e-01 
 6.75000000e-08  4.67579576e-01 
 6.95000000e-08  4.70410296e-01 
 7.15000000e-08  3.60881975e-01 
 3.50000000e-09  4.82560859e-01 
 5.50000000e-09  4.12623178e-01 
 7.50000000e-09  2.23603115e-01 
 9.50000000e-09  9.05868293e-02 
 1.15000000e-08  1.29908247e-01 
 1.35000000e-08  3.03509113e-01 
 1.55000000e-08  4.58550027e-01 
 1.75000000e-08  4.62495272e-01 
 1.95000000e-08  3.02687967e-01 
 2.15000000e-08  1.26639273e-01 
 2.35000000e-08  9.22627000e-02 
 2.55000000e-08  2.26596843e-01 
 2.75000000e-08  4.09206576e-01 
 2.95000000e-08  4.83606827e-01 
 3.15000000e-08  3.79242983e-01 
 3.35000000e-08  1.87002531e-01 
 3.55000000e-08  8.34775024e-02 
 3.75000000e-08  1.57853987e-01 
 3.95000000e-08  3.41418903e-01 
 4.15000000e-08  4.74050532e-01 
 4.35000000e-08  4.40780694e-01 
 4.55000000e-08  2.62668931e-01 
 4.75000000e-08  1.05148337e-01 
 4.95000000e-08  1.07753741e-01 
 5.15000000e-08  2.64748466e-01 
 5.35000000e-08  4.36678677e-01 
 5.55000000e-08  4.76911593e-01 
 5.75000000e-08  3.42079975e-01 
 5.95000000e-08  1.54268692e-01 
 6.15000000e-08  8.40548370e-02 
 6.35000000e-08  1.90503881e-01 
 6.55000000e-08  3.77077627e-01 
 6.75000000e-08  4.82560888e-01 
 6.95000000e-08  4.12623175e-01 
 7.15000000e-08  2.23602400e-01 
 3.50000000e-09  4.81251255e-01 
 5.50000000e-09  3.22571865e-01 
 7.50000000e-09  1.14809476e-01 
 9.50000000e-09  1.18378386e-01 
 1.15000000e-08  3.22678969e-01 
 1.35000000e-08  4.78849714e-01 
 1.55000000e-08  3.96791188e-01 
 1.75000000e-08  1.69736646e-01 
 1.95000000e-08  8.73746595e-02 
 2.15000000e-08  2.45778094e-01 
 2.35000000e-08  4.47902604e-01 
 2.55000000e-08  4.52842631e-01 
 2.75000000e-08  2.42683838e-01 
 2.95000000e-08  8.60083340e-02 
 3.15000000e-08  1.74048154e-01 
 3.35000000e-08  3.93378466e-01 
 3.55000000e-08  4.81251319e-01 
 3.75000000e-08  3.22573863e-01 
 3.95000000e-08  1.14809055e-01 
 4.15000000e-08  1.18378554e-01 
 4.35000000e-08  3.22681496e-01 
 4.55000000e-08  4.78852206e-01 
 4.75000000e-08  3.96791145e-01 
 4.95000000e-08  1.69737139e-01 
 5.15000000e-08  8.73747878e-02 
 5.35000000e-08  2.45778152e-01 
 5.55000000e-08  4.47902730e-01 
 5.75000000e-08  4.52842624e-01 
 5.95000000e-08  2.42681888e-01 
 6.15000000e-08  8.60081008e-02 
 6.35000000e-08  1.74047804e-01 
 6.55000000e-08  3.93379408e-01 
 6.75000000e-08  4.81251708e-01 
 6.95000000e-08  3.22572392e-01 
 7.15000000e-08  1.14808252e-01 
 3.50000000e-09  4.63040500e-01 
 5.50000000e-09  2.23050267e-01 
 7.50000000e-09  8.42612512e-02 
 9.50000000e-09  2.65189742e-01 
 1.15000000e-08  4.73200415e-01 
 1.35000000e-08  3.79707393e-01 
 1.55000000e-08  1.26059175e-01 
 1.75000000e-08  1.30627963e-01 
 1.95000000e-08  3.76664442e-01 
 2.15000000e-08  4.77117002e-01 
 2.35000000e-08  2.62297459e-01 
 2.55000000e-08  8.34540655e-02 
 2.75000000e-08  2.27228439e-01 
 2.95000000e-08  4.57602854e-01 
 3.15000000e-08  4.13292938e-01 
 3.35000000e-08  1.53614113e-01 
 3.55000000e-08  1.08352051e-01 
 3.75000000e-08  3.41311899e-01 
 3.95000000e-08  4.83395474e-01 
 4.15000000e-08  3.02568719e-01 
 4.35000000e-08  9.03415374e-02 
 4.55000000e-08  1.91246387e-01 
 4.75000000e-08  4.35796747e-01 
 4.95000000e-08  4.41489532e-01 
 5.15000000e-08  1.86355052e-01 
 5.35000000e-08  9.26836115e-02 
 5.55000000e-08  3.03698198e-01 
 5.75000000e-08  4.81967446e-01 
 5.95000000e-08  3.42255664e-01 
 6.15000000e-08  1.04709804e-01 
 6.35000000e-08  1.58625367e-01 
 6.55000000e-08  4.08518901e-01 
 6.75000000e-08  4.63038564e-01 
 6.95000000e-08  2.23050749e-01 
 7.15000000e-08  8.42605758e-02 
 3.50000000e-09  4.28494788e-01 
 5.50000000e-09  1.38814397e-01 
 7.50000000e-09  1.44358244e-01 
 9.50000000e-09  4.22390129e-01 
 1.15000000e-08  4.28493965e-01 
 1.35000000e-08  1.38814567e-01 
 1.55000000e-08  1.44359260e-01 
 1.75000000e-08  4.22389736e-01 
 1.95000000e-08  4.28492761e-01 
 2.15000000e-08  1.38814519e-01 
 2.35000000e-08  1.44359428e-01 
 2.55000000e-08  4.22388960e-01 
 2.75000000e-08  4.28492796e-01 
 2.95000000e-08  1.38814512e-01 
 3.15000000e-08  1.44358961e-01 
 3.35000000e-08  4.22389085e-01 
 3.55000000e-08  4.28492779e-01 
 3.75000000e-08  1.38815326e-01 
 3.95000000e-08  1.44359011e-01 
 4.15000000e-08  4.22388539e-01 
 4.35000000e-08  4.28492819e-01 
 4.55000000e-08  1.38815230e-01 
 4.75000000e-08  1.44359011e-01 
 4.95000000e-08  4.22389846e-01 
 5.15000000e-08  4.28493685e-01 
 5.35000000e-08  1.38814485e-01 
 5.55000000e-08  1.44359130e-01 
 5.75000000e-08  4.22388947e-01 
 5.95000000e-08  4.28492854e-01 
 6.15000000e-08  1.38814832e-01 
