 time            v(vop,vom)     
 1.25000000e-07  4.85254607e-02 
 2.25000000e-07  8.54365986e-02 
 3.25000000e-07  1.19065199e-01 
 4.25000000e-07  1.48120588e-01 
 5.25000000e-07  1.71495841e-01 
 6.25000000e-07  1.88264593e-01 
 7.25000000e-07  1.97804677e-01 
 8.25000000e-07  1.99739496e-01 
 9.25000000e-07  1.94007002e-01 
 1.02500000e-06  1.80827095e-01 
 1.12500000e-06  1.60678633e-01 
 1.22500000e-06  1.34349467e-01 
 1.32500000e-06  1.02874842e-01 
 1.42500000e-06  6.74383406e-02 
 1.52500000e-06  2.94134319e-02 
 1.62500000e-06 -9.74140406e-03 
 1.72500000e-06 -4.85224615e-02 
 1.82500000e-06 -8.54368699e-02 
 1.92500000e-06 -1.19066722e-01 
 2.02500000e-06 -1.48120659e-01 
 2.12500000e-06 -1.71495058e-01 
 2.22500000e-06 -1.88269222e-01 
 2.32500000e-06 -1.97798460e-01 
 2.42500000e-06 -1.99739962e-01 
 2.52500000e-06 -1.94002909e-01 
 2.62500000e-06 -1.80823221e-01 
 2.72500000e-06 -1.60665624e-01 
 2.82500000e-06 -1.34354292e-01 
 2.92500000e-06 -1.02875803e-01 
 3.02500000e-06 -6.74387230e-02 
 3.12500000e-06 -2.94135012e-02 
 3.22500000e-06  9.74135601e-03 
 3.32500000e-06  4.85211891e-02 
 3.42500000e-06  8.54434939e-02 
 3.50000000e-06  9.47973514e-02 
 1.25000000e-07  9.41179522e-02 
 2.25000000e-07  1.54461097e-01 
 3.25000000e-07  1.91247402e-01 
 4.25000000e-07  1.98983011e-01 
 5.25000000e-07  1.76397386e-01 
 6.25000000e-07  1.26945945e-01 
 7.25000000e-07  5.81719238e-02 
 8.25000000e-07 -1.94597638e-02 
 9.25000000e-07 -9.41064412e-02 
 1.02500000e-06 -1.54436882e-01 
 1.12500000e-06 -1.91260062e-01 
 1.22500000e-06 -1.98977619e-01 
 1.32500000e-06 -1.76435290e-01 
 1.42500000e-06 -1.26946197e-01 
 1.52500000e-06 -5.81718334e-02 
 1.62500000e-06  1.94598122e-02 
 1.72500000e-06  9.41174346e-02 
 1.82500000e-06  1.54435360e-01 
 1.92500000e-06  1.91328078e-01 
 2.02500000e-06  1.98958850e-01 
 2.12500000e-06  1.76369592e-01 
 2.22500000e-06  1.26983685e-01 
 2.32500000e-06  5.81822915e-02 
 2.42500000e-06 -1.94510341e-02 
 2.52500000e-06 -9.41101165e-02 
 2.62500000e-06 -1.54444874e-01 
 2.72500000e-06 -1.91313063e-01 
 2.82500000e-06 -1.98959273e-01 
 2.92500000e-06 -1.76365411e-01 
 3.02500000e-06 -1.26940769e-01 
 3.12500000e-06 -5.81811241e-02 
 3.22500000e-06  1.94593032e-02 
 3.32500000e-06  9.41044484e-02 
 3.42500000e-06  1.54450125e-01 
 3.50000000e-06  1.67211307e-01 
 1.25000000e-07  1.34054801e-01 
 2.25000000e-07  1.93727206e-01 
 3.25000000e-07  1.88177811e-01 
 4.25000000e-07  1.19243482e-01 
 5.25000000e-07  1.00205602e-02 
 6.25000000e-07 -1.02605222e-01 
 7.25000000e-07 -1.80621498e-01 
 8.25000000e-07 -1.97785283e-01 
 9.25000000e-07 -1.48237530e-01 
 1.02500000e-06 -4.87965321e-02 
 1.12500000e-06  6.71523976e-02 
 1.22500000e-06  1.60405677e-01 
 1.32500000e-06  1.99641200e-01 
 1.42500000e-06  1.71572164e-01 
 1.52500000e-06  8.56821348e-02 
 1.62500000e-06 -2.91072465e-02 
 1.72500000e-06 -1.34050068e-01 
 1.82500000e-06 -1.93810445e-01 
 1.92500000e-06 -1.88178900e-01 
 2.02500000e-06 -1.19205811e-01 
 2.12500000e-06 -1.00204339e-02 
 2.22500000e-06  1.02619489e-01 
 2.32500000e-06  1.80623445e-01 
 2.42500000e-06  1.97669657e-01 
 2.52500000e-06  1.48236452e-01 
 2.62500000e-06  4.87759171e-02 
 2.72500000e-06 -6.71576977e-02 
 2.82500000e-06 -1.60413218e-01 
 2.92500000e-06 -1.99714577e-01 
 3.02500000e-06 -1.71496703e-01 
 3.12500000e-06 -8.56580104e-02 
 3.22500000e-06  2.91115200e-02 
 3.32500000e-06  1.34046880e-01 
 3.42500000e-06  1.93733200e-01 
 3.50000000e-06  2.00161116e-01 
 1.25000000e-07  1.65981216e-01 
 2.25000000e-07  1.96183980e-01 
 3.25000000e-07  1.11295194e-01 
 4.25000000e-07 -3.87061457e-02 
 5.25000000e-07 -1.66100854e-01 
 6.25000000e-07 -1.96173463e-01 
 7.25000000e-07 -1.11278277e-01 
 8.25000000e-07  3.87060410e-02 
 9.25000000e-07  1.65968180e-01 
 1.02500000e-06  1.96012912e-01 
 1.12500000e-06  1.11350452e-01 
 1.22500000e-06 -3.87060765e-02 
 1.32500000e-06 -1.66068740e-01 
 1.42500000e-06 -1.96115364e-01 
 1.52500000e-06 -1.11282912e-01 
 1.62500000e-06  3.87149938e-02 
 1.72500000e-06  1.66083814e-01 
 1.82500000e-06  1.96174078e-01 
 1.92500000e-06  1.11270454e-01 
 2.02500000e-06 -3.87063649e-02 
 2.12500000e-06 -1.66100265e-01 
 2.22500000e-06 -1.95994299e-01 
 2.32500000e-06 -1.11278178e-01 
 2.42500000e-06  3.87060495e-02 
 2.52500000e-06  1.65973512e-01 
 2.62500000e-06  1.96012409e-01 
 2.72500000e-06  1.11316376e-01 
 2.82500000e-06 -3.87081964e-02 
 2.92500000e-06 -1.65963579e-01 
 3.02500000e-06 -1.95823635e-01 
 3.12500000e-06 -1.11283330e-01 
