 time            v(vop)         
 3.50000000e-09  3.49750923e-01 
 5.50000000e-09  3.85502773e-01 
 7.50000000e-09  4.17549490e-01 
 9.50000000e-09  4.44651683e-01 
 1.15000000e-08  4.65768145e-01 
 1.35000000e-08  4.80085013e-01 
 1.55000000e-08  4.87052714e-01 
 1.75000000e-08  4.86401578e-01 
 1.95000000e-08  4.78155090e-01 
 2.15000000e-08  4.62621757e-01 
 2.35000000e-08  4.40419672e-01 
 2.55000000e-08  4.12383121e-01 
 2.75000000e-08  3.79586453e-01 
 2.95000000e-08  3.43297987e-01 
 3.15000000e-08  3.04910375e-01 
 3.35000000e-08  2.65917265e-01 
 3.55000000e-08  2.27791421e-01 
 3.75000000e-08  1.92027543e-01 
 3.95000000e-08  1.59975958e-01 
 4.15000000e-08  1.32867737e-01 
 4.35000000e-08  1.11770012e-01 
 4.55000000e-08  9.74725543e-02 
 4.75000000e-08  9.05338104e-02 
 4.95000000e-08  9.12079016e-02 
 5.15000000e-08  9.94724463e-02 
 5.35000000e-08  1.15021369e-01 
 5.55000000e-08  1.37229872e-01 
 5.75000000e-08  1.65278123e-01 
 5.95000000e-08  1.98045662e-01 
 6.15000000e-08  2.34317524e-01 
 6.35000000e-08  2.72666172e-01 
 6.55000000e-08  3.11646323e-01 
 6.75000000e-08  3.49743070e-01 
 6.95000000e-08  3.85503335e-01 
 7.15000000e-08  4.17549662e-01 
 3.50000000e-09  4.04801717e-01 
 5.50000000e-09  4.57783214e-01 
 7.50000000e-09  4.85062554e-01 
 9.50000000e-09  4.82469846e-01 
 1.15000000e-08  4.50371249e-01 
 1.35000000e-08  3.93665189e-01 
 1.55000000e-08  3.20958953e-01 
 1.75000000e-08  2.43352238e-01 
 1.95000000e-08  1.72671048e-01 
 2.15000000e-08  1.19699584e-01 
 2.35000000e-08  9.24927674e-02 
 2.55000000e-08  9.51738147e-02 
 2.75000000e-08  1.27346505e-01 
 2.95000000e-08  1.84063904e-01 
 3.15000000e-08  2.56681966e-01 
 3.35000000e-08  3.34183207e-01 
 3.55000000e-08  4.04815351e-01 
 3.75000000e-08  4.57783422e-01 
 3.95000000e-08  4.85062283e-01 
 4.15000000e-08  4.82469712e-01 
 4.35000000e-08  4.50380168e-01 
 4.55000000e-08  3.93653571e-01 
 4.75000000e-08  3.20961515e-01 
 4.95000000e-08  2.43337682e-01 
 5.15000000e-08  1.72663944e-01 
 5.35000000e-08  1.19699037e-01 
 5.55000000e-08  9.24919453e-02 
 5.75000000e-08  9.51815297e-02 
 5.95000000e-08  1.27345606e-01 
 6.15000000e-08  1.84061747e-01 
 6.35000000e-08  2.56681771e-01 
 6.55000000e-08  3.34183330e-01 
 6.75000000e-08  4.04797092e-01 
 6.95000000e-08  4.57795445e-01 
 7.15000000e-08  4.85062575e-01 
 3.50000000e-09  4.48680931e-01 
 5.50000000e-09  4.87441401e-01 
 7.50000000e-09  4.59231734e-01 
 9.50000000e-09  3.73551344e-01 
 1.15000000e-08  2.59211082e-01 
 1.35000000e-08  1.54876368e-01 
 1.55000000e-08  9.57504726e-02 
 1.75000000e-08  1.01723946e-01 
 1.95000000e-08  1.70773523e-01 
 2.15000000e-08  2.79415379e-01 
 2.35000000e-08  3.91295225e-01 
 2.55000000e-08  4.68672376e-01 
 2.75000000e-08  4.85487192e-01 
 2.95000000e-08  4.35989672e-01 
 3.15000000e-08  3.36794389e-01 
 3.35000000e-08  2.21360492e-01 
 3.55000000e-08  1.28742359e-01 
 3.75000000e-08  9.01315444e-02 
 3.95000000e-08  1.18513781e-01 
 4.15000000e-08  2.04208078e-01 
 4.35000000e-08  3.18384393e-01 
 4.55000000e-08  4.22551464e-01 
 4.75000000e-08  4.81755706e-01 
 4.95000000e-08  4.75972314e-01 
 5.15000000e-08  4.07048990e-01 
 5.35000000e-08  2.98189222e-01 
 5.55000000e-08  1.86147269e-01 
 5.75000000e-08  1.08783551e-01 
 5.95000000e-08  9.21621583e-02 
 6.15000000e-08  1.41828317e-01 
 6.35000000e-08  2.40886341e-01 
 6.55000000e-08  3.56130842e-01 
 6.75000000e-08  4.48669590e-01 
 6.95000000e-08  4.87440830e-01 
 7.15000000e-08  4.59258539e-01 
 3.50000000e-09  4.77178226e-01 
 5.50000000e-09  4.66995249e-01 
 7.50000000e-09  3.52289539e-01 
 9.50000000e-09  2.00286189e-01 
 1.15000000e-08  1.00244423e-01 
 1.35000000e-08  1.10801171e-01 
 1.55000000e-08  2.25521553e-01 
 1.75000000e-08  3.77132697e-01 
 1.95000000e-08  4.77175928e-01 
 2.15000000e-08  4.67001480e-01 
 2.35000000e-08  3.52317067e-01 
 2.55000000e-08  2.00312993e-01 
 2.75000000e-08  1.00249475e-01 
 2.95000000e-08  1.10813136e-01 
 3.15000000e-08  2.25461311e-01 
 3.35000000e-08  3.77124051e-01 
 3.55000000e-08  4.77176811e-01 
 3.75000000e-08  4.66993796e-01 
 3.95000000e-08  3.52292686e-01 
 4.15000000e-08  2.00309581e-01 
 4.35000000e-08  1.00254306e-01 
 4.55000000e-08  1.10812398e-01 
 4.75000000e-08  2.25460835e-01 
 4.95000000e-08  3.77142109e-01 
 5.15000000e-08  4.77175963e-01 
 5.35000000e-08  4.66994770e-01 
 5.55000000e-08  3.52316904e-01 
 5.75000000e-08  2.00308079e-01 
 5.95000000e-08  1.00246080e-01 
 6.15000000e-08  1.10812826e-01 
 6.35000000e-08  2.25461491e-01 
 6.55000000e-08  3.77207009e-01 
 6.75000000e-08  4.77175782e-01 
 6.95000000e-08  4.66986546e-01 
 7.15000000e-08  3.52316908e-01 
 3.50000000e-09  4.87565428e-01 
 5.50000000e-09  4.01565470e-01 
 7.50000000e-09  2.15086730e-01 
 9.50000000e-09  9.42582137e-02 
 1.15000000e-08  1.46581376e-01 
 1.35000000e-08  3.25090824e-01 
 1.55000000e-08  4.71339740e-01 
 1.75000000e-08  4.55680213e-01 
 1.95000000e-08  2.91387092e-01 
 2.15000000e-08  1.24830487e-01 
 2.35000000e-08  1.04263360e-01 
 2.55000000e-08  2.47590606e-01 
 2.75000000e-08  4.27397679e-01 
 2.95000000e-08  4.84312271e-01 
 3.15000000e-08  3.67418730e-01 
 3.35000000e-08  1.80413148e-01 
 3.55000000e-08  9.00035629e-02 
 3.75000000e-08  1.76349130e-01 
 3.95000000e-08  3.62425016e-01 
 4.15000000e-08  4.83186449e-01 
 4.35000000e-08  4.31381850e-01 
 4.55000000e-08  2.52563940e-01 
 4.75000000e-08  1.06043857e-01 
 4.95000000e-08  1.22232735e-01 
 5.15000000e-08  2.86202037e-01 
 5.35000000e-08  4.52488114e-01 
 5.55000000e-08  4.73551551e-01 
 5.75000000e-08  3.30235703e-01 
 5.95000000e-08  1.49952613e-01 
 6.15000000e-08  9.33735910e-02 
 6.35000000e-08  2.10457074e-01 
 6.55000000e-08  3.96955162e-01 
 6.75000000e-08  4.87566619e-01 
 6.95000000e-08  4.01566843e-01 
 7.15000000e-08  2.15101570e-01 
 3.50000000e-09  4.78850716e-01 
 5.50000000e-09  3.07494406e-01 
 7.50000000e-09  1.13008939e-01 
 9.50000000e-09  1.35900327e-01 
 1.15000000e-08  3.47190087e-01 
 1.35000000e-08  4.86627380e-01 
 1.55000000e-08  3.81966566e-01 
 1.75000000e-08  1.61991602e-01 
 1.95000000e-08  9.89259520e-02 
 2.15000000e-08  2.70217962e-01 
 2.35000000e-08  4.64281472e-01 
 2.55000000e-08  4.42127090e-01 
 2.75000000e-08  2.30313725e-01 
 2.95000000e-08  9.08807289e-02 
 3.15000000e-08  1.96060618e-01 
 3.35000000e-08  4.15378476e-01 
 3.55000000e-08  4.78850486e-01 
 3.75000000e-08  3.07594065e-01 
 3.95000000e-08  1.13009039e-01 
 4.15000000e-08  1.35904490e-01 
 4.35000000e-08  3.47190060e-01 
 4.55000000e-08  4.86627382e-01 
 4.75000000e-08  3.81992169e-01 
 4.95000000e-08  1.61921832e-01 
 5.15000000e-08  9.89136574e-02 
 5.35000000e-08  2.70217296e-01 
 5.55000000e-08  4.64324071e-01 
 5.75000000e-08  4.42113204e-01 
 5.95000000e-08  2.30313184e-01 
 6.15000000e-08  9.08907621e-02 
 6.35000000e-08  1.96054356e-01 
 6.55000000e-08  4.15367579e-01 
