 time            v(vop)         
 3.50000000e-09  3.55913157e-01 
 5.50000000e-09  3.91909642e-01 
 7.50000000e-09  4.24315124e-01 
 9.50000000e-09  4.51864059e-01 
 1.15000000e-08  4.73509703e-01 
 1.35000000e-08  4.88401617e-01 
 1.55000000e-08  4.95996854e-01 
 1.75000000e-08  4.96010327e-01 
 1.95000000e-08  4.88400915e-01 
 2.15000000e-08  4.73485981e-01 
 2.35000000e-08  4.51818717e-01 
 2.55000000e-08  4.24253310e-01 
 2.75000000e-08  3.91838215e-01 
 2.95000000e-08  3.55814540e-01 
 3.15000000e-08  3.17592747e-01 
 3.35000000e-08  2.78623534e-01 
 3.55000000e-08  2.40398201e-01 
 3.75000000e-08  2.04371251e-01 
 3.95000000e-08  1.71969574e-01 
 4.15000000e-08  1.44445308e-01 
 4.35000000e-08  1.22786136e-01 
 4.55000000e-08  1.07900902e-01 
 4.75000000e-08  1.00315452e-01 
 4.95000000e-08  1.00338470e-01 
 5.15000000e-08  1.07968743e-01 
 5.35000000e-08  1.22898047e-01 
 5.55000000e-08  1.44559707e-01 
 5.75000000e-08  1.72109284e-01 
 5.95000000e-08  2.04522953e-01 
 6.15000000e-08  2.40527360e-01 
 6.35000000e-08  2.78725784e-01 
 6.55000000e-08  3.17695722e-01 
 6.75000000e-08  3.55913058e-01 
 6.95000000e-08  3.91909703e-01 
 7.15000000e-08  4.24300910e-01 
 7.35000000e-08  4.51864198e-01 
 3.50000000e-09  4.08666585e-01 
 5.50000000e-09  4.63450635e-01 
 7.50000000e-09  4.93143544e-01 
 9.50000000e-09  4.93123021e-01 
 1.15000000e-08  4.63433493e-01 
 1.35000000e-08  4.08558429e-01 
 1.55000000e-08  3.36836227e-01 
 1.75000000e-08  2.59248039e-01 
 1.95000000e-08  1.87583727e-01 
 2.15000000e-08  1.32743469e-01 
 2.35000000e-08  1.03164238e-01 
 2.55000000e-08  1.03245817e-01 
 2.75000000e-08  1.32991071e-01 
 2.95000000e-08  1.87890376e-01 
 3.15000000e-08  2.59517686e-01 
 3.35000000e-08  3.37034484e-01 
 3.55000000e-08  4.08677626e-01 
 3.75000000e-08  4.63451175e-01 
 3.95000000e-08  4.93131492e-01 
 4.15000000e-08  4.93115074e-01 
 4.35000000e-08  4.63429234e-01 
 4.55000000e-08  4.08558515e-01 
 4.75000000e-08  3.36836226e-01 
 4.95000000e-08  2.59248039e-01 
 5.15000000e-08  1.87583724e-01 
 5.35000000e-08  1.32775241e-01 
 5.55000000e-08  1.03157373e-01 
 5.75000000e-08  1.03239482e-01 
 5.95000000e-08  1.32991112e-01 
 6.15000000e-08  1.87892649e-01 
 6.35000000e-08  2.59517713e-01 
 6.55000000e-08  3.37034437e-01 
 6.75000000e-08  4.08677623e-01 
 6.95000000e-08  4.63451175e-01 
 7.15000000e-08  4.93142600e-01 
 7.35000000e-08  4.93145992e-01 
 3.50000000e-09  4.51851133e-01 
 5.50000000e-09  4.95955956e-01 
 7.50000000e-09  4.73438665e-01 
 9.50000000e-09  3.91785969e-01 
 1.15000000e-08  2.78553102e-01 
 1.35000000e-08  1.71874821e-01 
 1.55000000e-08  1.07859992e-01 
 1.75000000e-08  1.08063490e-01 
 1.95000000e-08  1.72290749e-01 
 2.15000000e-08  2.78841204e-01 
 2.35000000e-08  3.91968725e-01 
 2.55000000e-08  4.73461752e-01 
 2.75000000e-08  4.95956707e-01 
 2.95000000e-08  4.51786124e-01 
 3.15000000e-08  3.55750724e-01 
 3.35000000e-08  2.40301227e-01 
 3.55000000e-08  1.44344198e-01 
 3.75000000e-08  1.00328935e-01 
 3.95000000e-08  1.23020749e-01 
 4.15000000e-08  2.04666863e-01 
 4.35000000e-08  3.17816022e-01 
 4.55000000e-08  4.24326962e-01 
 4.75000000e-08  4.88366907e-01 
 4.95000000e-08  4.88376689e-01 
 5.15000000e-08  4.24188240e-01 
 5.35000000e-08  3.17519368e-01 
 5.55000000e-08  2.04276075e-01 
 5.75000000e-08  1.22702471e-01 
 5.95000000e-08  1.00394026e-01 
 6.15000000e-08  1.44679012e-01 
 6.35000000e-08  2.40647149e-01 
 6.55000000e-08  3.55972896e-01 
 6.75000000e-08  4.51847516e-01 
 6.95000000e-08  4.95957435e-01 
 7.15000000e-08  4.73460308e-01 
 7.35000000e-08  3.91782268e-01 
 3.50000000e-09  4.81758513e-01 
 5.50000000e-09  4.81757131e-01 
 7.50000000e-09  3.74080626e-01 
 9.50000000e-09  2.21838421e-01 
 1.15000000e-08  1.14382447e-01 
 1.35000000e-08  1.14748038e-01 
 1.55000000e-08  2.22426389e-01 
 1.75000000e-08  3.74410944e-01 
 1.95000000e-08  4.81746326e-01 
 2.15000000e-08  4.81758243e-01 
 2.35000000e-08  3.74079473e-01 
 2.55000000e-08  2.21838634e-01 
 2.75000000e-08  1.14398103e-01 
 2.95000000e-08  1.14723743e-01 
 3.15000000e-08  2.22423877e-01 
 3.35000000e-08  3.74412963e-01 
 3.55000000e-08  4.81758627e-01 
 3.75000000e-08  4.81777649e-01 
 3.95000000e-08  3.74079490e-01 
 4.15000000e-08  2.21829622e-01 
 4.35000000e-08  1.14398040e-01 
 4.55000000e-08  1.14754754e-01 
 4.75000000e-08  2.22448273e-01 
 4.95000000e-08  3.74412072e-01 
 5.15000000e-08  4.81746193e-01 
 5.35000000e-08  4.81757651e-01 
 5.55000000e-08  3.74079461e-01 
 5.75000000e-08  2.21838302e-01 
 5.95000000e-08  1.14403826e-01 
 6.15000000e-08  1.14758707e-01 
 6.35000000e-08  2.22429023e-01 
 6.55000000e-08  3.74397665e-01 
 6.75000000e-08  4.81745849e-01 
 6.95000000e-08  4.81756678e-01 
 7.15000000e-08  3.74107996e-01 
 7.35000000e-08  2.21840741e-01 
 3.50000000e-09  4.95877411e-01 
 5.50000000e-09  4.24121415e-01 
 7.50000000e-09  2.40238556e-01 
 9.50000000e-09  1.07864447e-01 
 1.15000000e-08  1.44904596e-01 
 1.35000000e-08  3.17966272e-01 
 1.55000000e-08  4.73373220e-01 
 1.75000000e-08  4.73414516e-01 
 1.95000000e-08  3.17457205e-01 
 2.15000000e-08  1.44332906e-01 
 2.35000000e-08  1.08216754e-01 
 2.55000000e-08  2.40803090e-01 
 2.75000000e-08  4.24332945e-01 
 2.95000000e-08  4.95869809e-01 
 3.15000000e-08  3.91688945e-01 
 3.35000000e-08  2.04192978e-01 
 3.55000000e-08  1.00377855e-01 
 3.75000000e-08  1.72484094e-01 
 3.95000000e-08  3.56062011e-01 
 4.15000000e-08  4.88267220e-01 
 4.35000000e-08  4.51734251e-01 
 4.55000000e-08  2.78441323e-01 
 4.75000000e-08  1.22742876e-01 
 4.95000000e-08  1.23156846e-01 
 5.15000000e-08  2.78971443e-01 
 5.35000000e-08  4.51818759e-01 
 5.55000000e-08  4.88299178e-01 
 5.75000000e-08  3.55625559e-01 
 5.95000000e-08  1.71786240e-01 
 6.15000000e-08  1.00488572e-01 
 6.35000000e-08  2.04921087e-01 
 6.55000000e-08  3.92035484e-01 
 6.75000000e-08  4.95876600e-01 
 6.95000000e-08  4.24127713e-01 
 7.15000000e-08  2.40238795e-01 
 7.35000000e-08  1.07867294e-01 
 3.50000000e-09  4.92977226e-01 
 5.50000000e-09  3.36685882e-01 
 7.50000000e-09  1.32649885e-01 
 9.50000000e-09  1.33311325e-01 
 1.15000000e-08  3.37265773e-01 
 1.35000000e-08  4.92970298e-01 
 1.55000000e-08  4.08387930e-01 
 1.75000000e-08  1.87352903e-01 
 1.95000000e-08  1.03479927e-01 
 2.15000000e-08  2.59904438e-01 
 2.35000000e-08  4.63388073e-01 
 2.55000000e-08  4.63294594e-01 
 2.75000000e-08  2.59024771e-01 
 2.95000000e-08  1.03223088e-01 
 3.15000000e-08  1.88246709e-01 
 3.35000000e-08  4.08701747e-01 
 3.55000000e-08  4.92985025e-01 
 3.75000000e-08  3.36638181e-01 
 3.95000000e-08  1.32714063e-01 
 4.15000000e-08  1.33311541e-01 
 4.35000000e-08  3.37265789e-01 
 4.55000000e-08  4.92970286e-01 
 4.75000000e-08  4.08388700e-01 
 4.95000000e-08  1.87352874e-01 
 5.15000000e-08  1.03479926e-01 
 5.35000000e-08  2.59858717e-01 
 5.55000000e-08  4.63403069e-01 
 5.75000000e-08  4.63297076e-01 
 5.95000000e-08  2.59071714e-01 
 6.15000000e-08  1.03214770e-01 
 6.35000000e-08  1.88303251e-01 
 6.55000000e-08  4.08700828e-01 
 6.75000000e-08  4.92990403e-01 
 6.95000000e-08  3.36638181e-01 
 7.15000000e-08  1.32650097e-01 
 7.35000000e-08  1.33335967e-01 
 3.50000000e-09  4.73269900e-01 
 5.50000000e-09  2.40119454e-01 
 7.50000000e-09  1.00613959e-01 
 9.50000000e-09  2.79272414e-01 
 1.15000000e-08  4.88187411e-01 
 1.35000000e-08  3.91600479e-01 
 1.55000000e-08  1.44241092e-01 
 1.75000000e-08  1.45117864e-01 
 1.95000000e-08  3.92078859e-01 
 2.15000000e-08  4.88151716e-01 
 2.35000000e-08  2.78403427e-01 
 2.55000000e-08  1.00462228e-01 
 2.75000000e-08  2.40989166e-01 
 2.95000000e-08  4.73258175e-01 
 3.15000000e-08  4.24055149e-01 
 3.35000000e-08  1.71800568e-01 
 3.55000000e-08  1.23373279e-01 
 3.75000000e-08  3.56124167e-01 
 3.95000000e-08  4.95779227e-01 
 4.15000000e-08  3.17400956e-01 
 4.35000000e-08  1.07915212e-01 
 4.55000000e-08  2.05087547e-01 
 4.75000000e-08  4.51787918e-01 
 4.95000000e-08  4.51578074e-01 
 5.15000000e-08  2.04104929e-01 
 5.35000000e-08  1.08370608e-01 
 5.55000000e-08  3.18043034e-01 
 5.75000000e-08  4.95765664e-01 
 5.95000000e-08  3.55593802e-01 
 6.15000000e-08  1.22748211e-01 
 6.35000000e-08  1.72645397e-01 
 6.55000000e-08  4.24294757e-01 
 6.75000000e-08  4.73273589e-01 
 6.95000000e-08  2.40190462e-01 
 7.15000000e-08  1.00611674e-01 
 7.35000000e-08  2.79292911e-01 
 3.50000000e-09  4.38400363e-01 
 5.50000000e-09  1.57412275e-01 
 7.50000000e-09  1.58408172e-01 
 9.50000000e-09  4.38699688e-01 
 1.15000000e-08  4.38391535e-01 
 1.35000000e-08  1.57313783e-01 
 1.55000000e-08  1.58321815e-01 
 1.75000000e-08  4.38723873e-01 
