 time            v(vop)         
 3.50000000e-09  3.41510746e-01 
 5.50000000e-09  3.77761918e-01 
 7.50000000e-09  4.10406837e-01 
 9.50000000e-09  4.38225184e-01 
 1.15000000e-08  4.60185342e-01 
 1.35000000e-08  4.75471111e-01 
 1.55000000e-08  4.83484106e-01 
 1.75000000e-08  4.83858337e-01 
 1.95000000e-08  4.76484533e-01 
 2.15000000e-08  4.61584548e-01 
 2.35000000e-08  4.39706943e-01 
 2.55000000e-08  4.11719955e-01 
 2.75000000e-08  3.78748809e-01 
 2.95000000e-08  3.42107853e-01 
 3.15000000e-08  3.03239670e-01 
 3.35000000e-08  2.63662133e-01 
 3.55000000e-08  2.24906750e-01 
 3.75000000e-08  1.88460405e-01 
 3.95000000e-08  1.55718320e-01 
 4.15000000e-08  1.27927998e-01 
 4.35000000e-08  1.06143462e-01 
 4.55000000e-08  9.11872533e-02 
 4.75000000e-08  8.36205482e-02 
 4.95000000e-08  8.37224571e-02 
 5.15000000e-08  9.14808780e-02 
 5.35000000e-08  1.06593146e-01 
 5.55000000e-08  1.28476913e-01 
 5.75000000e-08  1.56292330e-01 
 5.95000000e-08  1.88973212e-01 
 6.15000000e-08  2.25264678e-01 
 6.35000000e-08  2.63774707e-01 
 6.55000000e-08  3.03025040e-01 
 6.75000000e-08  3.41510762e-01 
 6.95000000e-08  3.77761918e-01 
 7.15000000e-08  4.10406837e-01 
 3.50000000e-09  3.94044773e-01 
 5.50000000e-09  4.49241574e-01 
 7.50000000e-09  4.79975503e-01 
 9.50000000e-09  4.81409988e-01 
 1.15000000e-08  4.52195011e-01 
 1.35000000e-08  3.96373780e-01 
 1.55000000e-08  3.23068449e-01 
 1.75000000e-08  2.43969074e-01 
 1.95000000e-08  1.71270475e-01 
 2.15000000e-08  1.15978799e-01 
 2.35000000e-08  8.63616615e-02 
 2.55000000e-08  8.67629936e-02 
 2.75000000e-08  1.16993629e-01 
 2.95000000e-08  1.72379681e-01 
 3.15000000e-08  2.44460739e-01 
 3.35000000e-08  3.22264494e-01 
 3.55000000e-08  3.94044671e-01 
 3.75000000e-08  4.49241562e-01 
 3.95000000e-08  4.79974853e-01 
 4.15000000e-08  4.81410105e-01 
 4.35000000e-08  4.52195009e-01 
 4.55000000e-08  3.96373969e-01 
 4.75000000e-08  3.23068753e-01 
 4.95000000e-08  2.43968736e-01 
