 time            v(vop,vom)     
 2.50000000e-09  9.50713452e-02 
 4.50000000e-09  1.68958114e-01 
 6.50000000e-09  2.36320222e-01 
 8.50000000e-09  2.94597991e-01 
 1.05000000e-08  3.41593047e-01 
 1.25000000e-08  3.75533709e-01 
 1.45000000e-08  3.95141637e-01 
 1.65000000e-08  3.99613492e-01 
 1.85000000e-08  3.88732274e-01 
 2.05000000e-08  3.62849736e-01 
 2.25000000e-08  3.22920966e-01 
 2.45000000e-08  2.70507087e-01 
 2.65000000e-08  2.07665894e-01 
 2.85000000e-08  1.36860430e-01 
 3.05000000e-08  6.08335140e-02 
 3.25000000e-08 -1.74811129e-02 
 3.45000000e-08 -9.50695025e-02 
 3.65000000e-08 -1.68956911e-01 
 3.85000000e-08 -2.36320244e-01 
 4.05000000e-08 -2.94599300e-01 
 4.25000000e-08 -3.41590954e-01 
 4.45000000e-08 -3.75532563e-01 
 4.65000000e-08 -3.95135962e-01 
 4.85000000e-08 -3.99615229e-01 
 5.05000000e-08 -3.88732212e-01 
 5.25000000e-08 -3.62848982e-01 
 5.45000000e-08 -3.22918844e-01 
 5.65000000e-08 -2.70507130e-01 
 5.85000000e-08 -2.07665890e-01 
 6.05000000e-08 -1.36860355e-01 
 6.25000000e-08 -6.08334831e-02 
 6.45000000e-08  1.74811232e-02 
 6.65000000e-08  9.50700159e-02 
 6.85000000e-08  1.68958678e-01 
 7.02000000e-08  2.24274710e-01 
 2.50000000e-09  1.84471261e-01 
 4.50000000e-09  3.05741998e-01 
 6.50000000e-09  3.80776823e-01 
 8.50000000e-09  3.98478087e-01 
 1.05000000e-08  3.55436860e-01 
 1.25000000e-08  2.57617606e-01 
 1.45000000e-08  1.20362596e-01 
 1.65000000e-08 -3.49139386e-02 
 1.85000000e-08 -1.84468573e-01 
 2.05000000e-08 -3.05742110e-01 
 2.25000000e-08 -3.80776824e-01 
 2.45000000e-08 -3.98480142e-01 
 2.65000000e-08 -3.55436674e-01 
 2.85000000e-08 -2.57618148e-01 
 3.05000000e-08 -1.20362506e-01 
 3.25000000e-08  3.49159031e-02 
 3.45000000e-08  1.84469423e-01 
 3.65000000e-08  3.05739515e-01 
 3.85000000e-08  3.80776820e-01 
 4.05000000e-08  3.98469647e-01 
 4.25000000e-08  3.55436551e-01 
 4.45000000e-08  2.57618605e-01 
 4.65000000e-08  1.20362589e-01 
 4.85000000e-08 -3.49139521e-02 
 5.05000000e-08 -1.84470424e-01 
 5.25000000e-08 -3.05741949e-01 
 5.45000000e-08 -3.80775884e-01 
 5.65000000e-08 -3.98470402e-01 
 5.85000000e-08 -3.55436859e-01 
 6.05000000e-08 -2.57617617e-01 
 6.25000000e-08 -1.20362591e-01 
 6.45000000e-08  3.49139228e-02 
 6.65000000e-08  1.84468854e-01 
 6.85000000e-08  3.05740085e-01 
 7.02000000e-08  3.68871149e-01 
 2.50000000e-09  2.62974653e-01 
 4.50000000e-09  3.85301116e-01 
 6.50000000e-09  3.79328888e-01 
 8.50000000e-09  2.44193205e-01 
 1.05000000e-08  2.60911990e-02 
 1.25000000e-08 -1.99585289e-01 
 1.45000000e-08 -3.57543428e-01 
 1.65000000e-08 -3.96561050e-01 
 1.85000000e-08 -3.01657912e-01 
 2.05000000e-08 -1.03607382e-01 
 2.25000000e-08  1.28461132e-01 
 2.45000000e-08  3.16263987e-01 
 2.65000000e-08  3.98497508e-01 
 2.85000000e-08  3.47313887e-01 
