 time            v(vop)         
 1.25000000e-07  3.11920402e-01 
 2.25000000e-07  3.30632213e-01 
 3.25000000e-07  3.47892311e-01 
 4.25000000e-07  3.63029875e-01 
 5.25000000e-07  3.75463716e-01 
 6.25000000e-07  3.84713497e-01 
 7.25000000e-07  3.90418835e-01 
 8.25000000e-07  3.92360352e-01 
 9.25000000e-07  3.90462129e-01 
 1.02500000e-06  3.84796165e-01 
 1.12500000e-06  3.75582652e-01 
 1.22500000e-06  3.63175420e-01 
 1.32500000e-06  3.48053200e-01 
 1.42500000e-06  3.30809029e-01 
 1.52500000e-06  3.12096967e-01 
 1.62500000e-06  2.92647709e-01 
 1.72500000e-06  2.73201672e-01 
 1.82500000e-06  2.54511248e-01 
 1.92500000e-06  2.37288046e-01 
 2.02500000e-06  2.22194690e-01 
 2.12500000e-06  2.09808754e-01 
 2.22500000e-06  2.00603465e-01 
 2.32500000e-06  1.94929361e-01 
 2.42500000e-06  1.93005654e-01 
 2.52500000e-06  1.94904085e-01 
 2.62500000e-06  2.00551018e-01 
 2.72500000e-06  2.09729497e-01 
 2.82500000e-06  2.22091950e-01 
 2.92500000e-06  2.37163545e-01 
 3.02500000e-06  2.54365634e-01 
 3.12500000e-06  2.73040841e-01 
 3.22500000e-06  2.92474313e-01 
 3.32500000e-06  3.11922275e-01 
 3.42500000e-06  3.30632251e-01 
 3.50000000e-06  3.51473103e-01 
 1.25000000e-07  3.30546714e-01 
 2.25000000e-07  3.62957259e-01 
 3.25000000e-07  3.84671646e-01 
 4.25000000e-07  3.92360103e-01 
 5.25000000e-07  3.84838324e-01 
 6.25000000e-07  3.63249250e-01 
 7.25000000e-07  3.30897604e-01 
 8.25000000e-07  2.92734704e-01 
 9.25000000e-07  2.54584262e-01 
 1.02500000e-06  2.22245216e-01 
 1.12500000e-06  2.00629791e-01 
 1.22500000e-06  1.93006038e-01 
 1.32500000e-06  2.00523512e-01 
 1.42500000e-06  2.22039923e-01 
 1.52500000e-06  2.54292704e-01 
 1.62500000e-06  2.92387152e-01 
 1.72500000e-06  3.30546726e-01 
 1.82500000e-06  3.62955875e-01 
 1.92500000e-06  3.84671657e-01 
 2.02500000e-06  3.92360237e-01 
 2.12500000e-06  3.84838318e-01 
 2.22500000e-06  3.63246600e-01 
 2.32500000e-06  3.30898697e-01 
 2.42500000e-06  2.92732773e-01 
 2.52500000e-06  2.54584003e-01 
 2.62500000e-06  2.22245620e-01 
 2.72500000e-06  2.00629854e-01 
 2.82500000e-06  1.93005464e-01 
 2.92500000e-06  2.00524712e-01 
 3.02500000e-06  2.22040953e-01 
 3.12500000e-06  2.54292038e-01 
 3.22500000e-06  2.92385749e-01 
 3.32500000e-06  3.30546718e-01 
 3.42500000e-06  3.62957433e-01 
 3.50000000e-06  3.88237544e-01 
 1.25000000e-07  3.47725320e-01 
 2.25000000e-07  3.84629638e-01 
 3.25000000e-07  3.90503396e-01 
 4.25000000e-07  3.63318522e-01 
 5.25000000e-07  3.12278391e-01 
 6.25000000e-07  2.54656045e-01 
 7.25000000e-07  2.09886902e-01 
 8.25000000e-07  1.93006336e-01 
 9.25000000e-07  2.09653196e-01 
 1.02500000e-06  2.54217875e-01 
 1.12500000e-06  3.11739735e-01 
 1.22500000e-06  3.62882992e-01 
 1.32500000e-06  3.90375759e-01 
 1.42500000e-06  3.84879151e-01 
 1.52500000e-06  3.48221336e-01 
 1.62500000e-06  2.92820894e-01 
 1.72500000e-06  2.37413505e-01 
