 time                v(vi)               v(vo)              
 1.800000000000e-09  3.362692567753e-01  2.606498167786e-01 
 3.800000000000e-09  3.751190843826e-01  2.992121584485e-01 
 5.800000000000e-09  4.108935033978e-01  3.351549725765e-01 
 7.800000000000e-09  4.421279013742e-01  3.669929710967e-01 
 9.800000000000e-09  4.675435261920e-01  3.934248561864e-01 
 1.180000000000e-08  4.860998913752e-01  4.133709830323e-01 
 1.380000000000e-08  4.970372553385e-01  4.260130960276e-01 
 1.580000000000e-08  4.999079156472e-01  4.308399612911e-01 
 1.780000000000e-08  4.945943089272e-01  4.276476455529e-01 
 1.980000000000e-08  4.813139956360e-01  4.165679142202e-01 
 2.180000000000e-08  4.606106907203e-01  3.980529560301e-01 
 2.380000000000e-08  4.333319867047e-01  3.728599687240e-01 
 2.580000000000e-08  4.005947031806e-01  3.420174475779e-01 
 2.780000000000e-08  3.637390801030e-01  3.067884820200e-01 
 2.980000000000e-08  3.242739939801e-01  2.686121223770e-01 
 3.180000000000e-08  2.838151356130e-01  2.290482501269e-01 
 3.380000000000e-08  2.440188881722e-01  1.897179027500e-01 
 3.580000000000e-08  2.065144889330e-01  1.522283595061e-01 
 3.780000000000e-08  1.728373760879e-01  1.181181762417e-01 
 3.980000000000e-08  1.443662859310e-01  8.878457057109e-02 
 4.180000000000e-08  1.222668225780e-01  6.543248668506e-02 
 4.380000000000e-08  1.074437433585e-01  4.902216117469e-02 
 4.580000000000e-08  1.005039385916e-01  4.022897410160e-02 
 4.780000000000e-08  1.017314965501e-01  3.941508509691e-02 
 4.980000000000e-08  1.110762099413e-01  4.661338940470e-02 
 5.180000000000e-08  1.281555086958e-01  6.152745919623e-02 
 5.380000000000e-08  1.522701730702e-01  8.354206631948e-02 
 5.580000000000e-08  1.824329460202e-01  1.117518246983e-01 
 5.780000000000e-08  2.174089629551e-01  1.449973430577e-01 
 5.980000000000e-08  2.557662849293e-01  1.819157573268e-01 
 6.180000000000e-08  2.959345495630e-01  2.209938157443e-01 
 6.380000000000e-08  3.362692571652e-01  2.606327290463e-01 
 6.580000000000e-08  3.751190840805e-01  2.992120937996e-01 
 6.780000000000e-08  4.108935070725e-01  3.351547257564e-01 
 6.980000000000e-08  4.421278980403e-01  3.669930138682e-01 
 7.180000000000e-08  4.675435266875e-01  3.934242295098e-01 
 1.800000000000e-09  3.713359131872e-01  2.859156056395e-01 
 3.800000000000e-09  4.392384759841e-01  3.563216612286e-01 
 5.800000000000e-09  4.845724390626e-01  4.071103208587e-01 
 7.800000000000e-09  4.999899428125e-01  4.300104244141e-01 
 9.800000000000e-09  4.829921479977e-01  4.213050036538e-01 
 1.180000000000e-08  4.363343629062e-01  3.823949720950e-01 
 1.380000000000e-08  3.675791602510e-01  3.195721897483e-01 
 1.580000000000e-08  2.878706059505e-01  2.430079559469e-01 
 1.780000000000e-08  2.101279939705e-01  1.651041415937e-01 
 1.980000000000e-08  1.469520478412e-01  9.849130967006e-02 
 2.180000000000e-08  1.085824927285e-01  5.398686453114e-02 
 2.380000000000e-08  1.012385994423e-01  3.883136617777e-02 
 2.580000000000e-08  1.261109676163e-01  5.549069958957e-02 
 2.780000000000e-08  1.791681019361e-01  1.012433145707e-01 
 2.980000000000e-08  2.518105245454e-01  1.686400903342e-01 
 3.180000000000e-08  3.322638041793e-01  2.467394047308e-01 
 3.380000000000e-08  4.074874892564e-01  3.228930020810e-01 
 3.580000000000e-08  4.652889846351e-01  3.847816455126e-01 
 3.780000000000e-08  4.962994665537e-01  4.223957457946e-01 
 3.980000000000e-08  4.954927923154e-01  4.296421542355e-01 
 4.180000000000e-08  4.629998693721e-01  4.053384653477e-01 
 4.380000000000e-08  4.040874488159e-01  3.534103082727e-01 
 4.580000000000e-08  3.283042650916e-01  2.822623550236e-01 
 4.780000000000e-08  2.479335220986e-01  2.034153833465e-01 
 4.980000000000e-08  1.760017962706e-01  1.296450513662e-01 
 5.180000000000e-08  1.241680211203e-01  7.292168847388e-02 
 5.380000000000e-08  1.008336260505e-01  4.246536879334e-02 
 5.580000000000e-08  1.097809271814e-01  4.323385650372e-02 
 5.780000000000e-08  1.495600151786e-01  7.509635296881e-02 
 5.980000000000e-08  2.137232070880e-01  1.328571952324e-01 
 6.180000000000e-08  2.918707604717e-01  2.071257528276e-01 
 6.380000000000e-08  3.713359397961e-01  2.858613938028e-01 
 6.580000000000e-08  4.392385041208e-01  3.563214171329e-01 
 6.780000000000e-08  4.845724491910e-01  4.071104714376e-01 
 6.980000000000e-08  4.999898565181e-01  4.300097419162e-01 
 7.180000000000e-08  4.829921583561e-01  4.213056408641e-01 
 1.800000000000e-09  4.040370830070e-01  3.102828316545e-01 
 3.800000000000e-09  4.829687730730e-01  3.999625609837e-01 
 5.800000000000e-09  4.963105272422e-01  4.306191279020e-01 
 7.800000000000e-09  4.392804353296e-01  3.911500702151e-01 
 9.800000000000e-09  3.323228340819e-01  2.956520614509e-01 
 1.180000000000e-08  2.137786916121e-01  1.783292781142e-01 
 1.380000000000e-08  1.261420356094e-01  8.124456582024e-02 
 1.580000000000e-08  1.008279845041e-01  3.926996296245e-02 
 1.780000000000e-08  1.469120551089e-01  6.749497729256e-02 
 1.980000000000e-08  2.478747245058e-01  1.557296600443e-01 
 2.180000000000e-08  3.675232824698e-01  2.722664295409e-01 
 2.380000000000e-08  4.629661063077e-01  3.753714007794e-01 
 2.580000000000e-08  4.999893009173e-01  4.281643329790e-01 
 2.780000000000e-08  4.653216530866e-01  4.117272497600e-01 
 2.980000000000e-08  3.713913421576e-01  3.319012198355e-01 
 3.180000000000e-08  2.518696714326e-01  2.172601401331e-01 
 3.380000000000e-08  1.496011285779e-01  1.088964822147e-01 
 3.580000000000e-08  1.012458053499e-01  4.564254632863e-02 
 3.780000000000e-08  1.241381963944e-01  5.039729101379e-02 
 3.980000000000e-08  2.100731240606e-01  1.212614908063e-01 
 4.180000000000e-08  3.282449947047e-01  2.327372332771e-01 
 4.380000000000e-08  4.362915841149e-01  3.450350260100e-01 
 4.580000000000e-08  4.954805680966e-01  4.178038624378e-01 
 4.780000000000e-08  4.845946168864e-01  4.250648840826e-01 
 4.980000000000e-08  4.075371090065e-01  3.641741608152e-01 
 5.180000000000e-08  2.919310665686e-01  2.569093357954e-01 
 5.380000000000e-08  1.792174984119e-01  1.417055513613e-01 
 5.580000000000e-08  1.098004310309e-01  5.982797903703e-02 
 5.780000000000e-08  1.085642686463e-01  4.085747003389e-02 
 5.980000000000e-08  1.759532440980e-01  9.144684853473e-02 
 6.180000000000e-08  2.878103201098e-01  1.934239663070e-01 
 6.380000000000e-08  4.040370300466e-01  3.101920277087e-01 
 6.580000000000e-08  4.829687533106e-01  3.999619250102e-01 
 6.780000000000e-08  4.963105091242e-01  4.306190871608e-01 
 6.980000000000e-08  4.392804079579e-01  3.911506253605e-01 
 7.180000000000e-08  3.323228312699e-01  2.956537810064e-01 
 1.800000000000e-09  4.332883363972e-01  3.333274310550e-01 
 3.800000000000e-09  4.999060283953e-01  4.253189833080e-01 
 5.800000000000e-09  4.421688999333e-01  3.990800551063e-01 
 7.800000000000e-09  2.959948357807e-01  2.706738826868e-01 
 9.800000000000e-09  1.523124241239e-01  1.199331606902e-01 
 1.180000000000e-08  1.004996454943e-01  4.072163764707e-02 
 1.380000000000e-08  1.727895820743e-01  8.241442751165e-02 
 1.580000000000e-08  3.242145067445e-01  2.189145333096e-01 
 1.780000000000e-08  4.605758572670e-01  3.652525414082e-01 
 1.980000000000e-08  4.970468054238e-01  4.305771362625e-01 
 2.180000000000e-08  4.109422305448e-01  3.742468427995e-01 
 2.380000000000e-08  2.558256142120e-01  2.311751088600e-01 
 2.580000000000e-08  1.281878650670e-01  9.034632354403e-02 
 2.780000000000e-08  1.074267800073e-01  3.943403098268e-02 
 2.980000000000e-08  2.064602952272e-01  1.102891832865e-01 
 3.180000000000e-08  3.636827407521e-01  2.585073198253e-01 
 3.380000000000e-08  4.812894177770e-01  3.919733851501e-01 
 3.580000000000e-08  4.861210639742e-01  4.278298064233e-01 
 3.780000000000e-08  3.751739530248e-01  3.437057751147e-01 
 3.980000000000e-08  2.174648609359e-01  1.918200854623e-01 
 4.180000000000e-08  1.110972275067e-01  6.668243766328e-02 
 4.380000000000e-08  1.222382626994e-01  4.627156779347e-02 
 4.580000000000e-08  2.439604315760e-01  1.432574735199e-01 
 4.780000000000e-08  4.005435490199e-01  2.971294602397e-01 
 4.980000000000e-08  4.945809021414e-01  4.122724952569e-01 
 5.180000000000e-08  4.675750989455e-01  4.171860573160e-01 
 5.380000000000e-08  3.363279698213e-01  3.087029669579e-01 
 5.580000000000e-08  1.824831901570e-01  1.542266905293e-01 
 5.780000000000e-08  1.017401861036e-01  4.991059055007e-02 
 5.980000000000e-08  1.443272159869e-01  6.077831772214e-02 
