 time             v(vi)            v(vo)           
 1.900000000e-09  3.382605944e-01  3.228105360e-01 
 3.900000000e-09  3.769936295e-01  3.623311025e-01 
 5.900000000e-09  4.125745153e-01  3.993042067e-01 
 7.900000000e-09  4.435465758e-01  4.322132377e-01 
 9.900000000e-09  4.686417619e-01  4.597113960e-01 
 1.190000000e-08  4.868327403e-01  4.806729899e-01 
 1.390000000e-08  4.973747036e-01  4.942396305e-01 
 1.590000000e-08  4.998361536e-01  4.998552472e-01 
 1.790000000e-08  4.941162566e-01  4.972890854e-01 
 1.990000000e-08  4.804492491e-01  4.866452605e-01 
 2.190000000e-08  4.593946490e-01  4.683586973e-01 
 2.390000000e-08  4.318144438e-01  4.431775950e-01 
 2.590000000e-08  3.988377761e-01  4.121328588e-01 
 2.790000000e-08  3.618146930e-01  3.764953550e-01 
 2.990000000e-08  3.222609356e-01  3.377250195e-01 
 3.190000000e-08  2.817958213e-01  2.974097377e-01 
 3.390000000e-08  2.420759797e-01  2.572007971e-01 
 3.590000000e-08  2.047275436e-01  2.187449706e-01 
 3.790000000e-08  1.712795503e-01  1.836171803e-01 
 3.990000000e-08  1.431013449e-01  1.532558004e-01 
 4.190000000e-08  1.213465637e-01  1.289038017e-01 
 4.390000000e-08  1.069058441e-01  1.115579756e-01 
 4.590000000e-08  1.003703977e-01  1.019279052e-01 
 4.790000000e-08  1.020078061e-01  1.004073686e-01 
 4.990000000e-08  1.117510594e-01  1.070581329e-01 
 5.190000000e-08  1.292012650e-01  1.216071949e-01 
 5.390000000e-08  1.536440035e-01  1.434584555e-01 
 5.590000000e-08  1.840786375e-01  1.717172716e-01 
 5.790000000e-08  2.192591138e-01  2.052262381e-01 
 5.990000000e-08  2.577451679e-01  2.426137504e-01 
 6.190000000e-08  2.979611442e-01  2.823494047e-01 
 6.390000000e-08  3.382605905e-01  3.228071473e-01 
 6.590000000e-08  3.769936285e-01  3.623310166e-01 
 6.790000000e-08  4.125745155e-01  3.993041391e-01 
 6.990000000e-08  4.435465595e-01  4.322131847e-01 
 7.190000000e-08  4.686417595e-01  4.597114191e-01 
 1.900000000e-09  3.751080862e-01  3.453176208e-01 
 3.900000000e-09  4.421196138e-01  4.184380415e-01 
 5.900000000e-09  4.860955835e-01  4.723810839e-01 
 7.900000000e-09  4.999081688e-01  4.983989654e-01 
 9.900000000e-09  4.813188271e-01  4.922653989e-01 
 1.190000000e-08  4.333407093e-01  4.549613972e-01 
 1.390000000e-08  3.637503169e-01  3.925252309e-01 
 1.590000000e-08  2.838271894e-01  3.150805352e-01 
 1.790000000e-08  2.065254002e-01  2.351908423e-01 
 1.990000000e-08  1.443741361e-01  1.658154996e-01 
 2.190000000e-08  1.074471662e-01  1.182010787e-01 
 2.390000000e-08  1.017299058e-01  1.000637835e-01 
 2.590000000e-08  1.281491765e-01  1.143347340e-01 
 2.790000000e-08  1.824229808e-01  1.586922119e-01 
 2.990000000e-08  2.557544292e-01  2.259415174e-01 
 3.190000000e-08  3.362574933e-01  3.051841001e-01 
 3.390000000e-08  4.108836774e-01  3.835845190e-01 
 3.590000000e-08  4.675371704e-01  4.484461960e-01 
 3.790000000e-08  4.970351933e-01  4.892626999e-01 
 3.990000000e-08  4.945969336e-01  4.994144779e-01 
 4.190000000e-08  4.606175889e-01  4.772431471e-01 
 4.390000000e-08  4.006048467e-01  4.263311785e-01 
 4.590000000e-08  3.242858906e-01  3.549281802e-01 
 4.790000000e-08  2.440306172e-01  2.746154497e-01 
 4.990000000e-08  1.728469683e-01  1.984218865e-01 
 5.190000000e-08  1.222726478e-01  1.387045842e-01 
 5.390000000e-08  1.005048987e-01  1.051429633e-01 
 5.590000000e-08  1.110721551e-01  1.031705572e-01 
 5.790000000e-08  1.522618452e-01  1.330982606e-01 
 5.990000000e-08  2.173978153e-01  1.900681036e-01 
 6.190000000e-08  2.959224922e-01  2.648440637e-01 
 6.390000000e-08  3.751080734e-01  3.453113954e-01 
 6.590000000e-08  4.421196164e-01  4.184380408e-01 
 6.790000000e-08  4.860955607e-01  4.723809429e-01 
 6.990000000e-08  4.999081715e-01  4.983989742e-01 
 7.190000000e-08  4.813187987e-01  4.922654255e-01 
 1.900000000e-09  4.091812536e-01  3.672271965e-01 
 3.900000000e-09  4.853391723e-01  4.627418733e-01 
 5.900000000e-09  4.950573438e-01  4.999744390e-01 
 7.900000000e-09  4.348531064e-01  4.655306190e-01 
 9.900000000e-09  3.263082812e-01  3.717068967e-01 
 1.190000000e-08  2.083329864e-01  2.521492927e-01 
 1.390000000e-08  1.232171841e-01  1.497664466e-01 
 1.590000000e-08  1.014727274e-01  1.012786500e-01 
 1.790000000e-08  1.508949010e-01  1.240399375e-01 
 1.990000000e-08  2.537682710e-01  2.098522075e-01 
 2.190000000e-08  3.732146908e-01  3.279454900e-01 
 2.390000000e-08  4.664150027e-01  4.360239375e-01 
 2.590000000e-08  4.999595559e-01  4.953861617e-01 
 2.790000000e-08  4.618237380e-01  4.847371069e-01 
 2.990000000e-08  3.656792844e-01  4.078343272e-01 
 3.190000000e-08  2.459910399e-01  2.922352928e-01 
 3.390000000e-08  1.456631180e-01  1.794250429e-01 
 3.590000000e-08  1.006600390e-01  1.098776550e-01 
 3.790000000e-08  1.271149634e-01  1.085095698e-01 
 3.990000000e-08  2.155450554e-01  1.757710283e-01 
 4.190000000e-08  3.342505999e-01  2.875281821e-01 
 4.390000000e-08  4.406779633e-01  4.037428159e-01 
 4.590000000e-08  4.966751701e-01  4.828036858e-01 
 4.790000000e-08  4.821695241e-01  4.963763645e-01 
 4.990000000e-08  4.023614738e-01  4.395419289e-01 
 5.190000000e-08  2.858602401e-01  3.326399086e-01 
 5.390000000e-08  1.744275905e-01  2.140251236e-01 
 5.590000000e-08  1.080087072e-01  1.262634416e-01 
 5.790000000e-08  1.104129424e-01  1.008168616e-01 
 5.990000000e-08  1.807795920e-01  1.467710970e-01 
 6.190000000e-08  2.938842545e-01  2.476197005e-01 
 6.390000000e-08  4.091812497e-01  3.672187986e-01 
 6.590000000e-08  4.853391621e-01  4.627420971e-01 
 6.790000000e-08  4.950573623e-01  4.999744040e-01 
 6.990000000e-08  4.348530351e-01  4.655305872e-01 
 7.190000000e-08  3.263082822e-01  3.717068381e-01 
 1.900000000e-09  4.392214682e-01  3.882537583e-01 
 3.900000000e-09  4.999899236e-01  4.908441837e-01 
 5.900000000e-09  4.363513152e-01  4.748008419e-01 
 7.900000000e-09  2.878947419e-01  3.499487939e-01 
 9.900000000e-09  1.469683936e-01  1.939817370e-01 
 1.190000000e-08  1.012361829e-01  1.040429791e-01 
 1.390000000e-08  1.791484922e-01  1.360452188e-01 
 1.590000000e-08  3.322401458e-01  2.699764165e-01 
 1.790000000e-08  4.652756571e-01  4.225439697e-01 
 1.990000000e-08  4.954974329e-01  4.989658060e-01 
 2.190000000e-08  4.041074364e-01  4.516590403e-01 
 2.390000000e-08  2.479570488e-01  3.099217508e-01 
 2.590000000e-08  1.241800644e-01  1.620043680e-01 
 2.790000000e-08  1.097735525e-01  1.000156622e-01 
 2.990000000e-08  2.137011533e-01  1.624447331e-01 
 3.190000000e-08  3.713136820e-01  3.103688823e-01 
 3.390000000e-08  4.845634068e-01  4.518338057e-01 
 3.590000000e-08  4.830011965e-01  4.989454857e-01 
 3.790000000e-08  3.676014002e-01  4.223005164e-01 
