 time             v(vi)            v(vo)           
 1.900000000e-09  6.574037456e-01  6.332924359e-01 
 3.900000000e-09  7.155024449e-01  6.925450853e-01 
 5.900000000e-09  7.688724525e-01  7.480545132e-01 
 7.900000000e-09  8.153287818e-01  7.975134465e-01 
 9.900000000e-09  8.529695337e-01  8.389001998e-01 
 1.190000000e-08  8.802536227e-01  8.705212785e-01 
 1.390000000e-08  8.960641453e-01  8.910802028e-01 
 1.590000000e-08  8.997536918e-01  8.997309155e-01 
 1.790000000e-08  8.911713345e-01  8.961131933e-01 
 1.990000000e-08  8.706683711e-01  8.803683202e-01 
 2.190000000e-08  8.390842593e-01  8.531352824e-01 
 2.390000000e-08  7.977119868e-01  8.155251543e-01 
 2.590000000e-08  7.482453957e-01  7.690766298e-01 
 2.790000000e-08  6.927096356e-01  7.156929685e-01 
 2.990000000e-08  6.333783437e-01  6.575635548e-01 
 3.190000000e-08  5.726805413e-01  5.970733852e-01 
 3.390000000e-08  5.131011929e-01  5.367046535e-01 
 3.590000000e-08  4.570794994e-01  4.789338728e-01 
 3.790000000e-08  4.069089421e-01  4.261298632e-01 
 3.990000000e-08  3.646435801e-01  3.804563425e-01 
 4.190000000e-08  3.320137002e-01  3.437834108e-01 
 4.390000000e-08  3.103551914e-01  3.176105982e-01 
 4.590000000e-08  3.005547301e-01  3.030066438e-01 
 4.790000000e-08  3.030136585e-01  3.005652597e-01 
 4.990000000e-08  3.176312180e-01  3.103821606e-01 
 5.190000000e-08  3.438089912e-01  3.320509647e-01 
 5.390000000e-08  3.804752732e-01  3.646811359e-01 
 5.590000000e-08  4.261289438e-01  4.069341437e-01 
 5.790000000e-08  4.789009448e-01  4.570792599e-01 
 5.990000000e-08  5.366307491e-01  5.130643569e-01 
 6.190000000e-08  5.969549174e-01  5.726000651e-01 
 6.390000000e-08  6.574037448e-01  6.332529280e-01 
 6.590000000e-08  7.155024517e-01  6.925450777e-01 
 6.790000000e-08  7.688724516e-01  7.480544974e-01 
 6.990000000e-08  8.153287808e-01  7.975134496e-01 
 7.190000000e-08  8.529695405e-01  8.389001964e-01 
 1.900000000e-09  7.126862627e-01  6.661392991e-01 
 3.900000000e-09  8.131975634e-01  7.759563837e-01 
 5.900000000e-09  8.791526708e-01  8.574243118e-01 
 7.900000000e-09  8.998615264e-01  8.972770006e-01 
 9.900000000e-09  8.719674566e-01  8.889943618e-01 
 1.190000000e-08  7.999918334e-01  8.338222393e-01 
 1.390000000e-08  6.956007574e-01  7.406438069e-01 
 1.590000000e-08  5.757143911e-01  6.245802763e-01 
 1.790000000e-08  4.597643479e-01  5.045209248e-01 
 1.990000000e-08  3.665440852e-01  4.000022030e-01 
 2.190000000e-08  3.111634178e-01  3.279971110e-01 
 2.390000000e-08  3.025983807e-01  3.001539241e-01 
 2.590000000e-08  3.422376438e-01  3.209258015e-01 
 2.790000000e-08  4.236563057e-01  3.868816914e-01 
 2.990000000e-08  5.336575822e-01  4.872936340e-01 
 3.190000000e-08  6.544120299e-01  6.058977980e-01 
 3.390000000e-08  7.663469991e-01  7.235302307e-01 
 3.590000000e-08  8.513196869e-01  8.212036991e-01 
 3.790000000e-08  8.955571783e-01  8.831348686e-01 
 3.990000000e-08  8.918895091e-01  8.992615525e-01 
 4.190000000e-08  8.409110877e-01  8.668828974e-01 
 4.390000000e-08  7.508849113e-01  7.911601750e-01 
 4.590000000e-08  6.364027534e-01  6.843454015e-01 
 4.790000000e-08  5.160203062e-01  5.638055904e-01 
 4.990000000e-08  4.092496200e-01  4.491623089e-01 
 5.190000000e-08  3.333964394e-01  3.590554850e-01 
 5.390000000e-08  3.007553263e-01  3.080940103e-01 
 5.590000000e-08  3.166172490e-01  3.044933112e-01 
 5.790000000e-08  3.784110797e-01  3.487707350e-01 
 5.990000000e-08  4.761211386e-01  4.336949478e-01 
 6.190000000e-08  5.939101509e-01  5.454865859e-01 
 6.390000000e-08  7.126862083e-01  6.660632832e-01 
 6.590000000e-08  8.131974957e-01  7.759563731e-01 
 6.790000000e-08  8.791527404e-01  8.574242157e-01 
