 time             v(vip)           v(vop)           v(von)          
 1.900000000e-09  6.574017624e-01  6.320703750e-01  5.669737295e-01 
 3.900000000e-09  7.155006019e-01  6.917321934e-01  5.081615444e-01 
 5.900000000e-09  7.688708118e-01  7.472911874e-01  4.525091009e-01 
 7.900000000e-09  8.153274128e-01  7.968385495e-01  4.029091928e-01 
 9.900000000e-09  8.529684681e-01  8.383563553e-01  3.613914714e-01 
 1.190000000e-08  8.802529235e-01  8.701385221e-01  3.296637498e-01 
 1.390000000e-08  8.960638101e-01  8.908895929e-01  3.090143704e-01 
 1.590000000e-08  8.997537604e-01  8.997485715e-01  3.002887916e-01 
 1.790000000e-08  8.911717941e-01  8.963439825e-01  3.038347482e-01 
 1.990000000e-08  8.706691981e-01  8.808018493e-01  3.195026456e-01 
 2.190000000e-08  8.390853944e-01  8.537441575e-01  3.466476670e-01 
 2.390000000e-08  7.977134422e-01  8.162736291e-01  3.841529001e-01 
 2.590000000e-08  7.482470855e-01  7.699232257e-01  4.304809677e-01 
 2.790000000e-08  6.927115026e-01  7.165975224e-01  4.837330139e-01 
 2.990000000e-08  6.333803135e-01  6.584856603e-01  5.417331236e-01 
 3.190000000e-08  5.726825315e-01  5.979807052e-01  6.021064711e-01 
 3.390000000e-08  5.131031369e-01  5.375659105e-01  6.623896954e-01 
 3.590000000e-08  4.570812919e-01  4.797182199e-01  7.201252985e-01 
 3.790000000e-08  4.069105120e-01  4.268179916e-01  7.729498657e-01 
 3.990000000e-08  3.646448530e-01  3.810220756e-01  8.187188423e-01 
 4.190000000e-08  3.320146212e-01  3.442119700e-01  8.555565214e-01 
 4.390000000e-08  3.103556895e-01  3.178903211e-01  8.819576987e-01 
 4.590000000e-08  3.005548477e-01  3.031293733e-01  8.968387085e-01 
 4.790000000e-08  3.030133393e-01  3.005243732e-01  8.995842100e-01 
 4.990000000e-08  3.176304519e-01  3.101830740e-01  8.900619857e-01 
 5.190000000e-08  3.438078800e-01  3.316998680e-01  8.686541973e-01 
 5.390000000e-08  3.804738352e-01  3.641917657e-01  8.362245514e-01 
 5.590000000e-08  4.261272410e-01  4.063247024e-01  7.940976777e-01 
 5.790000000e-08  4.788990338e-01  4.563713284e-01  7.440018095e-01 
 5.990000000e-08  5.366287354e-01  5.122833894e-01  6.879950264e-01 
 6.190000000e-08  5.969528775e-01  5.717759409e-01  6.283783060e-01 
 6.390000000e-08  6.574017627e-01  6.324159574e-01  5.676041374e-01 
 6.590000000e-08  7.155006021e-01  6.917273977e-01  5.081685826e-01 
 6.790000000e-08  7.688708207e-01  7.472908267e-01  4.525094200e-01 
 6.990000000e-08  8.153274244e-01  7.968419124e-01  4.029058444e-01 
 7.190000000e-08  8.529684648e-01  8.383560772e-01  3.613917566e-01 
 1.900000000e-09  7.126825155e-01  6.641819829e-01  5.347654584e-01 
 3.900000000e-09  8.131947798e-01  7.744857042e-01  4.250470969e-01 
 5.900000000e-09  8.791512871e-01  8.563956788e-01  3.430698720e-01 
 7.900000000e-09  8.998615785e-01  8.969495426e-01  3.028460129e-01 
 9.900000000e-09  8.719690966e-01  8.894982381e-01  3.108348198e-01 
 1.190000000e-08  7.999947906e-01  8.350691188e-01  3.656596151e-01 
 1.390000000e-08  6.956045019e-01  7.423547890e-01  4.583671389e-01 
 1.590000000e-08  5.757184057e-01  6.264132359e-01  5.739205663e-01 
 1.790000000e-08  4.597679216e-01  5.061839045e-01  6.936340540e-01 
 1.990000000e-08  3.665468063e-01  4.012712361e-01  7.982061826e-01 
 2.190000000e-08  3.111645253e-01  3.287179433e-01  8.707958872e-01 
 2.390000000e-08  3.025978801e-01  3.002401416e-01  8.996828870e-01 
 2.590000000e-08  3.422354918e-01  3.203782773e-01  8.800808143e-01 
 2.790000000e-08  4.236528689e-01  3.857843476e-01  8.149849429e-01 
 2.990000000e-08  5.336536042e-01  4.858021542e-01  7.148512644e-01 
 3.190000000e-08  6.544080590e-01  6.042270208e-01  5.959773902e-01 
 3.390000000e-08  7.663437082e-01  7.219187227e-01  4.777871525e-01 
 3.590000000e-08  8.513174884e-01  8.199158313e-01  3.795313541e-01 
 3.790000000e-08  8.955564807e-01  8.824298233e-01  3.171570890e-01 
 3.990000000e-08  8.918904013e-01  8.993446390e-01  3.007142419e-01 
 4.190000000e-08  8.409134840e-01  8.677818306e-01  3.327883089e-01 
 4.390000000e-08  7.508882775e-01  7.926720482e-01  4.081089379e-01 
 4.590000000e-08  6.364067045e-01  6.861601755e-01  5.144029096e-01 
 4.790000000e-08  5.160241779e-01  5.655832448e-01  6.344886721e-01 
 4.990000000e-08  4.092527836e-01  4.506523850e-01  7.489570371e-01 
 5.190000000e-08  3.333983020e-01  3.600659059e-01  8.393770399e-01 
 5.390000000e-08  3.007556268e-01  3.085055813e-01  8.911763335e-01 
 5.590000000e-08  3.166157530e-01  3.042582230e-01  8.959393292e-01 
 5.790000000e-08  3.784081354e-01  3.479338881e-01  8.527274858e-01 
 5.990000000e-08  4.761173710e-01  4.323796050e-01  7.683856692e-01 
 6.190000000e-08  5.939060942e-01  5.438760163e-01  6.565790317e-01 
