 time             v(vi)            v(vc)           
 1.100000000e-09  3.220194371e-01  3.218015875e-01 
 3.100000000e-09  3.615836498e-01  3.613656704e-01 
 5.100000000e-09  3.986265898e-01  3.984216706e-01 
 7.100000000e-09  4.316317096e-01  4.314497810e-01 
 9.100000000e-09  4.592477751e-01  4.590982797e-01 
 1.110000000e-08  4.803441860e-01  4.802353514e-01 
 1.310000000e-08  4.940572614e-01  4.939953733e-01 
 1.510000000e-08  4.998255976e-01  4.998143838e-01 
 1.710000000e-08  4.974130516e-01  4.974532853e-01 
 1.910000000e-08  4.869184048e-01  4.870078121e-01 
 2.110000000e-08  4.687713190e-01  4.689048034e-01 
 2.310000000e-08  4.437147452e-01  4.438848907e-01 
 2.510000000e-08  4.127745057e-01  4.129722645e-01 
 2.710000000e-08  3.772172958e-01  3.774327444e-01 
 2.910000000e-08  3.384988263e-01  3.387218799e-01 
 3.110000000e-08  2.982042254e-01  2.984252317e-01 
 3.310000000e-08  2.579831456e-01  2.581933150e-01 
 3.510000000e-08  2.194822270e-01  2.196739016e-01 
 3.710000000e-08  1.842776880e-01  1.844444654e-01 
 3.910000000e-08  1.538107949e-01  1.539475506e-01 
 4.110000000e-08  1.293288611e-01  1.294317009e-01 
 4.310000000e-08  1.118341822e-01  1.119003675e-01 
 4.510000000e-08  1.020430037e-01  1.020708736e-01 
 4.710000000e-08  1.003561953e-01  1.003451063e-01 
 4.910000000e-08  1.068428355e-01  1.067931313e-01 
 5.110000000e-08  1.212373796e-01  1.211503938e-01 
 5.310000000e-08  1.429505261e-01  1.428286182e-01 
 5.510000000e-08  1.710933408e-01  1.709399554e-01 
 5.710000000e-08  2.045136498e-01  2.043333850e-01 
 5.910000000e-08  2.418432103e-01  2.416418722e-01 
 6.110000000e-08  2.815537299e-01  2.813383442e-01 
 6.310000000e-08  3.220194382e-01  3.217981825e-01 
 6.510000000e-08  3.615836498e-01  3.613656705e-01 
 6.710000000e-08  3.986265899e-01  3.984216706e-01 
 6.910000000e-08  4.316317090e-01  4.314497804e-01 
 7.110000000e-08  4.592477750e-01  4.590982795e-01 
 1.100000000e-09  3.437709767e-01  3.433379037e-01 
 3.100000000e-09  4.171821795e-01  4.167962048e-01 
 5.100000000e-09  4.715996849e-01  4.713431459e-01 
 7.100000000e-09  4.982033598e-01  4.981331695e-01 
 9.100000000e-09  4.926813571e-01  4.928151990e-01 
 1.110000000e-08  4.559288878e-01  4.562376858e-01 
 1.310000000e-08  3.939030326e-01  3.943214527e-01 
 1.510000000e-08  3.166571644e-01  3.171053584e-01 
 1.710000000e-08  2.367114650e-01  2.371155716e-01 
 1.910000000e-08  1.670236669e-01  1.673273890e-01 
 2.110000000e-08  1.188889318e-01  1.190564038e-01 
 2.310000000e-08  1.001092148e-01  1.001233565e-01 
 2.510000000e-08  1.137286819e-01  1.135890339e-01 
 2.710000000e-08  1.575400987e-01  1.572622346e-01 
 2.910000000e-08  2.244423725e-01  2.240590856e-01 
 3.110000000e-08  3.035915063e-01  3.031542659e-01 
 3.310000000e-08  3.821584028e-01  3.817359205e-01 
 3.510000000e-08  4.474084266e-01  4.470783230e-01 
 3.710000000e-08  4.887655792e-01  4.885971741e-01 
 3.910000000e-08  4.995266694e-01  4.995592456e-01 
 4.110000000e-08  4.779476923e-01  4.781753507e-01 
 4.310000000e-08  4.275264016e-01  4.278996374e-01 
 4.510000000e-08  3.564353158e-01  3.568786217e-01 
 4.710000000e-08  2.761970770e-01  2.766315148e-01 
 4.910000000e-08  1.998168465e-01  2.001765119e-01 
 5.110000000e-08  1.396744688e-01  1.399133151e-01 
 5.310000000e-08  1.055180346e-01  1.056099001e-01 
 5.510000000e-08  1.028839498e-01  1.028202622e-01 
 5.710000000e-08  1.321994584e-01  1.319877218e-01 
 5.910000000e-08  1.887131527e-01  1.883773304e-01 
 6.110000000e-08  2.632649695e-01  2.628470992e-01 
 6.310000000e-08  3.437709775e-01  3.433316696e-01 
 6.510000000e-08  4.171821794e-01  4.167962049e-01 
 6.710000000e-08  4.715996848e-01  4.713431460e-01 
