 time                v(vi)               v(vo)              
 1.250000000000e-09  3.250445219850e-01  3.248185282735e-01 
 3.250000000000e-09  3.644747630862e-01  3.642531126383e-01 
 5.250000000000e-09  4.012653617659e-01  4.010579338642e-01 
 7.250000000000e-09  4.339100885236e-01  4.337269723660e-01 
 9.250000000000e-09  4.610724627684e-01  4.609231767368e-01 
 1.125000000000e-08  4.816404600178e-01  4.815332198567e-01 
 1.325000000000e-08  4.947720335360e-01  4.947130314482e-01 
 1.525000000000e-08  4.999295980264e-01  4.999223846050e-01 
 1.725000000000e-08  4.969020209132e-01  4.969471400444e-01 
 1.925000000000e-08  4.858132735355e-01  4.859081862389e-01 
 2.125000000000e-08  4.671173490279e-01  4.672566821194e-01 
 2.325000000000e-08  4.415796979644e-01  4.417557694702e-01 
 2.525000000000e-08  4.102457676606e-01  4.104492759406e-01 
 2.725000000000e-08  3.743984257323e-01  3.746192685718e-01 
 2.925000000000e-08  3.355052861672e-01  3.357332047055e-01 
 3.125000000000e-08  2.951585055520e-01  2.953836662718e-01 
 3.325000000000e-08  2.550099973535e-01  2.552235436059e-01 
 3.525000000000e-08  2.167033096895e-01  2.168974345794e-01 
 3.725000000000e-08  1.818067791467e-01  1.819750519871e-01 
 3.925000000000e-08  1.517490354776e-01  1.518862808163e-01 
 4.125000000000e-08  1.277606399405e-01  1.278629466310e-01 
 4.325000000000e-08  1.108236865317e-01  1.108883205789e-01 
 4.525000000000e-08  1.016315929335e-01  1.016569260235e-01 
 4.725000000000e-08  1.005607090429e-01  1.005461679703e-01 
 4.925000000000e-08  1.076548908761e-01  1.076009029565e-01 
 5.125000000000e-08  1.226237711296e-01  1.225318225258e-01 
 5.325000000000e-08  1.448544964255e-01  1.447271002855e-01 
 5.525000000000e-08  1.734369608238e-01  1.732777546293e-01 
 5.725000000000e-08  2.072009856148e-01  2.070147819659e-01 
 5.925000000000e-08  2.447642679221e-01  2.445571776350e-01 
 6.125000000000e-08  2.845889270696e-01  2.843682224182e-01 
 6.325000000000e-08  3.250445217773e-01  3.248186352698e-01 
 6.525000000000e-08  3.644747638161e-01  3.642531116092e-01 
 6.725000000000e-08  4.012653581389e-01  4.010579180465e-01 
 6.925000000000e-08  4.339100884997e-01  4.337269721388e-01 
 7.125000000000e-08  4.610724631838e-01  4.609231763376e-01 
 1.250000000000e-09  3.496947780839e-01  3.492474028554e-01 
 3.250000000000e-09  4.220649461299e-01  4.216794176377e-01 
 5.250000000000e-09  4.746498434838e-01  4.744020423222e-01 
 7.250000000000e-09  4.989264010519e-01  4.988715318577e-01 
 9.250000000000e-09  4.909600584526e-01  4.911123906065e-01 
 1.125000000000e-08  4.520423508855e-01  4.523689335305e-01 
 1.325000000000e-08  3.884813691203e-01  3.889138325578e-01 
 1.525000000000e-08  3.105792540849e-01  3.110360860877e-01 
 1.725000000000e-08  2.309624418831e-01  2.313692401944e-01 
 1.925000000000e-08  1.625352380331e-01  1.628358800694e-01 
 2.125000000000e-08  1.163884444596e-01  1.165476765980e-01 
 2.325000000000e-08  1.000018650680e-01  1.000035369589e-01 
 2.525000000000e-08  1.160318891077e-01  1.158768933336e-01 
