 time                v(vi1)              v(vo1)              v(vo2)              v(vo3)             
 0.000000000000e+00  3.000000000005e-01  8.711589908682e-04  8.904157602394e-04  2.617093480764e-03 
 2.000000000000e-09  3.236546331461e-01  3.229026327575e-01  3.230521421352e-01  3.231196090779e-01 
 4.000000000000e-09  3.469772070945e-01  3.461770165888e-01  3.463798808747e-01  3.464512211377e-01 
 6.000000000000e-09  3.696403240306e-01  3.687976385848e-01  3.690570318944e-01  3.691309092284e-01 
 8.000000000000e-09  3.913258434708e-01  3.904495546725e-01  3.907655506951e-01  3.908403807625e-01 
 1.000000000000e-08  4.117293482575e-01  4.108325119067e-01  4.112009527440e-01  4.112749509739e-01 
 1.200000000000e-08  4.305644179082e-01  4.296651719974e-01  4.300765707431e-01  4.301478157361e-01 
 1.400000000000e-08  4.475666493323e-01  4.466888429196e-01  4.471275642979e-01  4.471940742188e-01 
 1.600000000000e-08  4.624973684698e-01  4.616705648134e-01  4.621146269371e-01  4.621744451728e-01 
 1.800000000000e-08  4.751469807527e-01  4.744054538092e-01  4.748273395181e-01  4.748786248715e-01 
 2.000000000000e-08  4.853379133528e-01  4.847183378035e-01  4.850871237229e-01  4.851282396901e-01 
 2.200000000000e-08  4.929271079151e-01  4.924649111714e-01  4.927497545526e-01  4.927793518966e-01 
 2.400000000000e-08  4.978080287836e-01  4.975328217948e-01  4.977073964262e-01  4.977244833998e-01 
 2.600000000000e-08  4.999121585285e-01  4.998431583955e-01  4.998901336533e-01  4.998941288570e-01 
 2.800000000000e-08  4.992099597806e-01  4.993526126910e-01  4.992669726587e-01  4.992577366329e-01 
 3.000000000000e-08  4.957112898712e-01  4.960561518781e-01  4.958463003067e-01  4.958241434769e-01 
 3.200000000000e-08  4.894652624561e-01  4.899895567289e-01  4.896757901449e-01  4.896414564453e-01 
 3.400000000000e-08  4.805595580695e-01  4.812309476352e-01  4.808417559082e-01  4.807963832911e-01 
 3.600000000000e-08  4.691191932786e-01  4.699006364645e-01  4.694679596525e-01  4.694130203542e-01 
 3.800000000000e-08  4.553047657279e-01  4.561591655726e-01  4.557138897373e-01  4.556511146221e-01 
 4.000000000000e-08  4.393101996988e-01  4.402039117743e-01  4.397725318010e-01  4.397038240974e-01 
 4.200000000000e-08  4.213600238378e-01  4.222648650696e-01  4.218676634837e-01  4.217950077515e-01 
 4.400000000000e-08  4.017062192664e-01  4.026001150440e-01  4.022507108953e-01  4.021760830481e-01 
 4.600000000000e-08  3.806246823193e-01  3.814913476466e-01  3.811972114525e-01  3.811224951909e-01 
 4.800000000000e-08  3.584113515642e-01  3.592394396298e-01  3.590029336291e-01  3.589298478083e-01 
 5.000000000000e-08  3.353780534718e-01  3.361601163589e-01  3.359797092692e-01  3.359097496003e-01 
 5.200000000000e-08  3.118481250591e-01  3.125796065570e-01  3.124510382641e-01  3.123854355325e-01 
 5.400000000000e-08  2.881518749413e-01  2.888302469173e-01  2.887475286058e-01  2.886872243498e-01 
 5.600000000000e-08  2.646219465281e-01  2.652460257224e-01  2.652022370456e-01  2.651478764912e-01 
 5.800000000000e-08  2.415886484361e-01  2.421580878711e-01  2.421459767990e-01  2.420979178725e-01 
 6.000000000000e-08  2.193753176807e-01  2.198902472115e-01  2.199026589836e-01  2.198609954551e-01 
 6.200000000000e-08  1.982937807337e-01  1.987545655565e-01  1.987847337658e-01  1.987493300220e-01 
 6.400000000000e-08  1.786399761623e-01  1.790470636319e-01  1.790887955679e-01  1.790593301725e-01 
 6.600000000000e-08  1.606898003012e-01  1.610436299367e-01  1.610914141748e-01  1.610674292270e-01 
 6.800000000000e-08  1.446952342720e-01  1.449961910534e-01  1.450452502416e-01  1.450262035440e-01 
 7.000000000000e-08  1.308808067215e-01  1.311292025800e-01  1.311755095757e-01  1.311608267524e-01 
 7.200000000000e-08  1.194404419308e-01  1.196365143346e-01  1.196767857054e-01  1.196659096398e-01 
 7.400000000000e-08  1.105347375439e-01  1.106786572060e-01  1.107103347271e-01  1.107027699796e-01 
 7.600000000000e-08  1.042887101291e-01  1.043805922274e-01  1.044018202873e-01  1.043971705141e-01 
 7.800000000000e-08  1.007900402194e-01  1.008299554288e-01  1.008395600023e-01  1.008375567162e-01 
 8.000000000000e-08  1.000878414714e-01  1.000758240795e-01  1.000732972942e-01  1.000738188893e-01 
 8.200000000000e-08  1.021919712163e-01  1.021280231817e-01  1.021135157046e-01  1.021165958453e-01 
 8.400000000000e-08  1.070728920851e-01  1.069569822905e-01  1.069313046010e-01  1.069371297298e-01 
 8.600000000000e-08  1.146620866474e-01  1.144941455965e-01  1.144587778068e-01  1.144676738580e-01 
 8.800000000000e-08  1.248530192473e-01  1.246329301910e-01  1.245900387306e-01  1.246024476626e-01 
 9.000000000000e-08  1.375026315301e-01  1.372302199569e-01  1.371826780998e-01  1.371991251508e-01 
 9.200000000000e-08  1.524333506677e-01  1.521083752351e-01  1.520597827029e-01  1.520808358381e-01 
 9.400000000000e-08  1.694355820916e-01  1.690577315547e-01  1.690124265953e-01  1.690386499033e-01 
 9.600000000000e-08  1.882706517425e-01  1.878395544184e-01  1.878026093784e-01  1.878345125612e-01 
 9.800000000000e-08  2.086741565290e-01  2.081894114346e-01  2.081665999599e-01  2.082045863566e-01 
 1.000000000000e-07  2.303596759694e-01  2.298209180737e-01  2.298186385701e-01  2.298629544118e-01 
 1.020000000000e-07  2.530227929053e-01  2.524298089994e-01  2.524549448580e-01  2.525056326072e-01 
